sequence_index,pearson_r
0,0.379560261964798
1,0.34382933378219604
2,0.6185779571533203
3,0.5963578224182129
4,0.16601330041885376
5,0.2819075286388397
6,0.8464800715446472
7,0.500363290309906
8,0.5041790008544922
9,0.26060107350349426
10,0.2193993628025055
11,0.21445365250110626
12,0.5187498927116394
13,0.1898525059223175
14,0.34721606969833374
15,0.4730836749076843
16,0.7002521753311157
17,0.29625198245048523
18,0.5532566905021667
19,0.289777547121048
20,0.5250163078308105
21,0.4667999744415283
22,0.2818624973297119
23,0.5077208876609802
24,0.06894675642251968
25,0.27519312500953674
26,0.4274882376194
27,0.5008875727653503
28,0.46502500772476196
29,0.5818953514099121
30,0.23399779200553894
31,0.13680700957775116
32,0.25475436449050903
33,0.5487998127937317
34,0.4067320227622986
35,0.24255132675170898
36,0.5296384692192078
37,-0.005282382480800152
38,0.08657007664442062
39,0.6641413569450378
40,0.5113532543182373
41,0.4630187451839447
42,0.42672303318977356
43,0.6130057573318481
44,0.5649062991142273
45,0.47671476006507874
46,0.13873398303985596
47,0.15793107450008392
48,0.5006048679351807
49,0.14122770726680756
50,0.5194545984268188
51,0.37308305501937866
52,0.6122617721557617
53,0.30017536878585815
54,0.5907778739929199
55,0.7305512428283691
56,0.08349446952342987
57,0.34060394763946533
58,0.4165114164352417
59,0.5384950041770935
60,0.42987945675849915
61,0.139924556016922
62,0.2617817521095276
63,0.36463141441345215
64,0.5151240825653076
65,0.5133478045463562
66,0.38652485609054565
67,0.35855722427368164
68,0.47293075919151306
69,0.4370187520980835
70,0.3788672387599945
71,0.2648647725582123
72,0.3635246455669403
73,0.3005809187889099
74,0.4092245101928711
75,0.04043426737189293
76,0.4562508463859558
77,0.584758460521698
78,0.48493221402168274
79,0.6126413941383362
80,0.5380334258079529
81,0.8059195876121521
82,0.6604759693145752
83,0.052841491997241974
84,0.6867848038673401
85,0.25216901302337646
86,0.32783377170562744
87,0.5520252585411072
88,0.5033482909202576
89,0.4678584635257721
90,0.4783274531364441
91,0.3330305516719818
92,0.503184974193573
93,0.3733085095882416
94,0.5286778211593628
95,0.6005409955978394
96,0.3245687782764435
97,0.4103967845439911
98,0.3751911222934723
99,0.19849525392055511
100,0.4321041703224182
101,0.5037537217140198
102,0.26314860582351685
103,0.186361163854599
104,0.4575234353542328
105,0.5721748471260071
106,0.21733830869197845
107,0.4250545799732208
108,0.24365660548210144
109,0.3309861123561859
110,0.3301416337490082
111,-0.007093300111591816
112,0.40844589471817017
113,0.32432225346565247
