epoch,step,train/alpha_mean_epoch,train/alpha_mean_step,train/loss_epoch,train/loss_step,train/nll_epoch,train/nll_step,train/pearson_epoch,train/pearson_step,val/alpha_mean,val/loss,val/nll,val/pearson
0,49,,0.09201449900865555,,12.913256645202637,,38.77996826171875,,0.8191924095153809,,,,
0,99,,0.007013166788965464,,2.6527445316314697,,6.037123680114746,,0.8065415024757385,,,,
0,149,,0.005448787473142147,,2.5353481769561768,,5.654590606689453,,0.8117271661758423,,,,
0,199,,0.00448737945407629,,2.5499401092529297,,5.7764129638671875,,0.7945792078971863,,,,
0,249,,0.004575466737151146,,2.544023036956787,,5.759878158569336,,0.7931821346282959,,,,
0,299,,0.004783312324434519,,2.5137553215026855,,5.745783805847168,,0.7661035656929016,,,,
0,349,,0.004584143869578838,,2.5351645946502686,,5.79106330871582,,0.7749249339103699,,,,
0,399,,0.004194978624582291,,2.513505220413208,,5.714391231536865,,0.7782129049301147,,,,
0,449,,0.004194246139377356,,2.469618797302246,,5.676794052124023,,0.7456090450286865,,,,
0,499,,0.004689767956733704,,2.44273042678833,,5.594375133514404,,0.7409689426422119,,,,
0,549,,0.003992849960923195,,2.465038537979126,,5.667753219604492,,0.7447482347488403,,,,
0,599,,0.004173838067799807,,2.43748140335083,,5.617335319519043,,0.7314113974571228,,,,
0,610,,,,,,,,,0.0043034907430410385,2.45654034614563,5.596375942230225,0.7561098337173462
0,610,0.03326005861163139,,6.008859634399414,,16.884607315063477,,0.777173638343811,,,,,
1,649,,0.004429970867931843,,2.4476840496063232,,5.635347366333008,,0.7349300384521484,,,,
1,699,,0.004115942399948835,,2.448495626449585,,5.583475112915039,,0.7528732419013977,,,,
1,749,,0.004578526131808758,,2.429924726486206,,5.537686824798584,,0.7457259297370911,,,,
1,799,,0.004443375393748283,,2.4612064361572266,,5.588958263397217,,0.7623019814491272,,,,
1,849,,0.004360752645879984,,2.417131185531616,,5.5917649269104,,0.7177978157997131,,,,
1,899,,0.004637218080461025,,2.41709566116333,,5.514988899230957,,0.7394126653671265,,,,
1,949,,0.0044554853811860085,,2.4308884143829346,,5.456816673278809,,0.7715660333633423,,,,
1,999,,0.0044144331477582455,,2.456101655960083,,5.572391510009766,,0.762312114238739,,,,
1,1049,,0.004350250121206045,,2.400845766067505,,5.4736480712890625,,0.737000048160553,,,,
1,1099,,0.004151972010731697,,2.481156587600708,,5.707505702972412,,0.7481451034545898,,,,
1,1149,,0.0043988279066979885,,2.4662606716156006,,5.641667366027832,,0.7517662644386292,,,,
1,1199,,0.004424968734383583,,2.4216463565826416,,5.574954986572266,,0.7270349860191345,,,,
1,1221,,,,,,,,,0.004180863965302706,2.443544864654541,5.586459159851074,0.7467026114463806
1,1221,0.004388193599879742,,2.4429023265838623,,5.593771457672119,,0.742830216884613,,,,,
2,1249,,0.004376369062811136,,2.4322142601013184,,5.578146934509277,,0.7368882894515991,,,,
2,1299,,0.004468079190701246,,2.4698431491851807,,5.635451316833496,,0.7568674087524414,,,,
2,1349,,0.004360369872301817,,2.399482488632202,,5.501998424530029,,0.7270809412002563,,,,
2,1399,,0.004242333583533764,,2.3897337913513184,,5.488330364227295,,0.7220231294631958,,,,
2,1449,,0.003966417163610458,,2.435971260070801,,5.5967607498168945,,0.7371107339859009,,,,
2,1499,,0.004147752188146114,,2.3936760425567627,,5.568609237670898,,0.7023541927337646,,,,
2,1549,,0.004335872828960419,,2.4305856227874756,,5.531486988067627,,0.7494601011276245,,,,
2,1599,,0.00432354211807251,,2.4078099727630615,,5.428057670593262,,0.757775068283081,,,,
2,1649,,0.003983934875577688,,2.4246740341186523,,5.557268142700195,,0.7375739216804504,,,,
2,1699,,0.004193625412881374,,2.4860074520111084,,5.675902366638184,,0.7622683048248291,,,,
2,1749,,0.003904306562617421,,2.464125871658325,,5.627676486968994,,0.7563015222549438,,,,
2,1799,,0.004089799243956804,,2.3910140991210938,,5.525730609893799,,0.7128459811210632,,,,
2,1832,,,,,,,,,0.004092036746442318,2.4401023387908936,5.580458164215088,0.7455047369003296
2,1832,0.004213693086057901,,2.4374566078186035,,5.591376781463623,,0.7389732003211975,,,,,
3,1849,,0.004300192929804325,,2.4746851921081543,,5.6270833015441895,,0.7650589942932129,,,,
3,1899,,0.004122785292565823,,2.457271099090576,,5.648633003234863,,0.7420672178268433,,,,
