sequence_index,pearson_r
0,0.37549176812171936
1,0.3352307379245758
2,0.6075065732002258
3,0.5679747462272644
4,0.13947293162345886
5,0.14571833610534668
6,0.641579806804657
7,0.6035252213478088
8,0.5487006902694702
9,0.3820417821407318
10,0.3068162202835083
11,0.2860948443412781
12,0.6245283484458923
13,0.14784379303455353
14,0.3721676766872406
15,0.4817270338535309
16,0.7159104943275452
17,0.26203790307044983
18,0.5669289231300354
19,0.3424619734287262
20,0.5333355069160461
21,0.46819549798965454
22,0.3500712513923645
23,0.5020325779914856
24,0.08929837495088577
25,0.2374577820301056
26,0.49834808707237244
27,0.7532905340194702
28,0.5303477048873901
29,0.5754553079605103
30,0.24157151579856873
31,0.131118506193161
32,0.3074798882007599
33,0.557729184627533
34,0.34470677375793457
35,0.2944467067718506
36,0.53315669298172
37,0.12659205496311188
38,0.20435458421707153
39,0.6881664991378784
40,0.504375159740448
41,0.5665277242660522
42,0.39532601833343506
43,0.6126098036766052
44,0.5562530755996704
45,0.5147188305854797
46,0.18445345759391785
47,0.18296435475349426
48,0.5302401781082153
49,0.20507603883743286
50,0.5133504271507263
51,0.4327346980571747
52,0.6197547316551208
53,0.2674153447151184
54,0.612547755241394
55,0.68796306848526
56,0.27120333909988403
57,0.36603090167045593
58,0.45477908849716187
59,0.521551251411438
60,0.4018012285232544
61,0.14817367494106293
62,0.2976166605949402
63,0.37493187189102173
64,0.5275239944458008
65,0.5512794852256775
66,0.4096969664096832
67,0.2711068093776703
68,0.45789480209350586
69,0.4389943778514862
70,0.3284062147140503
71,0.39253267645835876
72,0.4720136225223541
73,0.3395485579967499
74,0.46150749921798706
75,0.04566032811999321
76,0.6314981579780579
77,0.5993265509605408
78,0.5071440935134888
79,0.5975596308708191
80,0.5087919235229492
81,0.8462699055671692
82,0.6416134238243103
83,0.1010160967707634
84,0.7380081415176392
85,0.2618478536605835
86,0.3406710624694824
87,0.5482014417648315
88,0.488052099943161
89,0.49612727761268616
90,0.46328791975975037
91,0.35354316234588623
92,0.48047682642936707
93,0.3979947865009308
94,0.521950900554657
95,0.5820319056510925
