model,mean_r,median_r,std_r,n_sequences
standard,0.43152845393592515,0.4315067082643509,0.1592141222159712,4946
qlayer,0.4451308836841538,0.44607608020305634,0.162909719299131,4946
cnn_only,0.4298709255953269,0.4273568391799927,0.16244626629476921,4946
