rank,protein,mean_alpha,std_alpha,exp_log_scale,effective_weight
141,TIA1_K562,7.528081e-09,1.0397431e-08,0.9895252,7.449226e-09
142,SMNDC1_K562,7.279067e-09,8.972994e-09,0.9860354,7.1774178e-09
143,PABPC4_K562,7.26674e-09,7.496884e-09,0.9915559,7.2053794e-09
144,PRPF4_HepG2,7.07459e-09,8.754389e-09,0.98901,6.99684e-09
145,DROSHA_K562,7.014033e-09,8.547258e-09,0.9891485,6.93792e-09
146,ZRANB2_K562,6.981011e-09,7.9485405e-09,0.9871323,6.8911814e-09
147,ZC3H8_K562,6.917608e-09,6.6912142e-09,0.9883877,6.8372783e-09
148,GTF2F1_HepG2,6.9132433e-09,8.846271e-09,0.9888824,6.836385e-09
149,SF3B1_K562,6.91281e-09,8.1801295e-09,0.9883008,6.8319355e-09
150,AGGF1_K562,6.8996773e-09,8.254935e-09,0.987988,6.8167982e-09
151,TIA1_HepG2,6.8941057e-09,8.770196e-09,0.98819846,6.8127446e-09
152,AARS_K562,6.8585844e-09,8.392012e-09,0.98864967,6.7807373e-09
153,TIAL1_HepG2,6.804673e-09,8.312698e-09,0.98771894,6.721104e-09
154,RBFOX2_K562,6.7885293e-09,7.1009265e-09,0.9895456,6.7175594e-09
155,APOBEC3C_K562,6.762866e-09,7.3050623e-09,0.9914816,6.7052572e-09
156,NOL12_HepG2,6.7157555e-09,6.2718026e-09,0.9925341,6.6656165e-09
157,LARP4_K562,6.7029133e-09,8.266153e-09,0.98882663,6.628019e-09
158,PUM1_K562,6.7001977e-09,8.221491e-09,0.99194574,6.6462325e-09
159,XRN2_HepG2,6.697763e-09,9.12347e-09,0.9896826,6.6286594e-09
160,BCCIP_HepG2,6.6718675e-09,7.861889e-09,0.98762864,6.5893273e-09
161,U2AF1_K562,6.671374e-09,9.896235e-09,0.98959666,6.6019696e-09
162,FMR1_K562,6.6171593e-09,7.921234e-09,0.9918839,6.563454e-09
163,DDX3X_HepG2,6.492354e-09,7.0570088e-09,0.9913619,6.436273e-09
164,CPEB4_K562,6.3970633e-09,6.231798e-09,0.98992455,6.33261e-09
165,ZC3H11A_K562,6.3908647e-09,7.037829e-09,0.9912904,6.3352026e-09
166,GTF2F1_K562,6.296379e-09,6.583488e-09,0.98915225,6.2280776e-09
167,RBM22_HepG2,6.2627916e-09,6.079491e-09,0.9851476,6.169774e-09
168,MTPAP_K562,6.260191e-09,6.8676527e-09,0.9916189,6.2077237e-09
169,TBRG4_K562,6.260104e-09,6.2077548e-09,0.99076444,6.2022885e-09
170,METAP2_K562,6.2440653e-09,6.9087185e-09,0.9925974,6.197843e-09
171,YWHAG_K562,6.219831e-09,7.204954e-09,0.9914159,6.1664394e-09
172,SUPV3L1_HepG2,6.1881673e-09,7.17816e-09,0.9883639,6.1161614e-09
173,PRPF8_HepG2,6.1620904e-09,6.948314e-09,0.991343,6.1087455e-09
174,SUB1_HepG2,6.0666427e-09,7.53077e-09,0.9912354,6.013471e-09
175,DDX21_K562,5.9619247e-09,8.288619e-09,0.98912865,5.8971104e-09
176,CDC40_HepG2,5.9549374e-09,6.6517676e-09,0.989157,5.890368e-09
177,SMNDC1_HepG2,5.9351546e-09,8.20962e-09,0.9902508,5.8772915e-09
178,KHDRBS1_K562,5.687869e-09,5.972093e-09,0.98869884,5.623589e-09
179,SSB_HepG2,5.6779874e-09,6.350972e-09,0.991433,5.629344e-09
180,DDX59_HepG2,5.6675686e-09,8.134604e-09,0.9880004,5.59956e-09
181,LARP7_HepG2,5.661957e-09,6.669673e-09,0.99164015,5.614624e-09
182,AATF_K562,5.6518856e-09,6.7461268e-09,0.99214554,5.607493e-09
183,AKAP8L_K562,5.6330656e-09,6.3059633e-09,0.9894253,5.5734977e-09
184,DDX6_HepG2,5.584377e-09,6.9789423e-09,0.98991406,5.528053e-09
185,PUS1_K562,5.580779e-09,7.2736825e-09,0.98902625,5.519537e-09
186,DHX30_K562,5.5114544e-09,6.853121e-09,0.9891539,5.451677e-09
187,HNRNPL_HepG2,5.4639013e-09,5.7774283e-09,0.98961395,5.407153e-09
188,DDX52_K562,5.4574816e-09,6.6251626e-09,0.98812526,5.3926756e-09
189,GPKOW_K562,5.4316924e-09,7.1181154e-09,0.9894572,5.374427e-09
190,TROVE2_HepG2,5.4244795e-09,7.3533113e-09,0.99158597,5.378838e-09
191,WRN_K562,5.4114424e-09,6.527217e-09,0.991916,5.3676965e-09
192,NOLC1_HepG2,5.334265e-09,6.2236176e-09,0.9900549,5.2812155e-09
193,WDR43_HepG2,5.315313e-09,5.776717e-09,0.9903585,5.264065e-09
194,DKC1_HepG2,5.2349574e-09,5.937311e-09,0.9916401,5.1911937e-09
195,SLBP_K562,5.2234634e-09,6.1348087e-09,0.987411,5.1577054e-09
196,AQR_HepG2,5.2228306e-09,5.996573e-09,0.9915111,5.1784945e-09
197,FASTKD2_K562,5.1057403e-09,6.277966e-09,0.9884936,5.0469917e-09
198,DDX51_K562,4.81036e-09,6.576104e-09,0.9897264,4.7609405e-09
199,RPS3_K562,4.7331294e-09,6.9028707e-09,0.99311966,4.700564e-09
200,WDR3_K562,4.691711e-09,5.400849e-09,0.9905655,4.647447e-09
201,HNRNPK_HepG2,4.6742037e-09,5.42071e-09,0.990252,4.6286397e-09
202,RBM22_K562,4.65452e-09,4.8328466e-09,0.98353,4.57786e-09
203,WDR43_K562,4.41092e-09,6.202328e-09,0.9902862,4.368073e-09
204,SUPV3L1_K562,4.360692e-09,5.6101426e-09,0.9900722,4.3173998e-09
205,NCBP2_K562,4.3432884e-09,5.2793534e-09,0.99049556,4.302008e-09
206,PCBP1_K562,4.3311195e-09,4.7930118e-09,0.9906912,4.290802e-09
207,PCBP2_HepG2,4.325806e-09,5.395228e-09,0.990394,4.284252e-09
208,SERBP1_K562,4.306865e-09,4.6166275e-09,0.9907913,4.2672044e-09
209,RPS11_K562,4.1561155e-09,4.940275e-09,0.99343926,4.1288484e-09
210,PHF6_K562,4.1137618e-09,5.8620357e-09,0.99219865,4.081669e-09
211,SF3A3_HepG2,3.9529677e-09,4.770841e-09,0.9873641,3.9030184e-09
212,SF3B4_K562,3.874612e-09,4.0025503e-09,0.9861066,3.8207806e-09
213,UTP18_K562,3.839072e-09,5.3141043e-09,0.99266195,3.810901e-09
214,GNL3_K562,3.698048e-09,4.5612927e-09,0.99283814,3.6715633e-09
215,QKI_K562,3.6439467e-09,3.5046628e-09,0.986751,3.5956682e-09
216,TROVE2_K562,3.5866237e-09,4.563414e-09,0.9929031,3.5611698e-09
217,NSUN2_K562,3.5521308e-09,4.9543982e-09,0.99278146,3.5264895e-09
218,SDAD1_K562,3.4940815e-09,4.54332e-09,0.99369437,3.472049e-09
219,AQR_K562,3.416722e-09,4.020673e-09,0.98843575,3.37721e-09
220,NPM1_K562,3.3422196e-09,4.3086446e-09,0.99011487,3.3091814e-09
221,SF3B4_HepG2,3.0353733e-09,3.86703e-09,0.98837095,3.0000749e-09
222,GEMIN5_K562,2.821554e-09,2.8325504e-09,0.9884471,2.788957e-09
223,UTP18_HepG2,2.7746756e-09,4.0794212e-09,0.99366,2.7570841e-09
