sequence_index,pearson_r
0,0.4072340726852417
1,0.3342117965221405
2,0.6302192211151123
3,0.5735946893692017
4,0.13332752883434296
5,0.21062330901622772
6,0.6488306522369385
7,0.5983625054359436
8,0.5431395173072815
9,0.3673982322216034
10,0.2792428135871887
11,0.29012686014175415
12,0.6187295913696289
13,0.12116513401269913
14,0.38681888580322266
15,0.46201184391975403
16,0.7253764271736145
17,0.2595907747745514
18,0.5259577035903931
19,0.34696775674819946
20,0.5475630760192871
21,0.4630332589149475
22,0.30478182435035706
23,0.5083972215652466
24,0.09654835611581802
25,0.2459532916545868
26,0.48526009917259216
27,0.7751434445381165
28,0.5393773913383484
29,0.599740207195282
30,0.20099739730358124
31,0.09740344434976578
32,0.3204013407230377
33,0.5440475344657898
34,0.3868861496448517
35,0.2983302175998688
36,0.5353622436523438
37,0.12288930267095566
38,0.19981512427330017
39,0.6675714254379272
40,0.5039247870445251
41,0.5142606496810913
42,0.3945923447608948
43,0.6205785870552063
44,0.557247519493103
45,0.5040063261985779
46,0.21908164024353027
47,0.19316533207893372
48,0.5230650305747986
49,0.17774632573127747
50,0.540385365486145
51,0.39591458439826965
52,0.6237823367118835
53,0.3004662096500397
54,0.6166497468948364
55,0.7077375650405884
56,0.291546106338501
57,0.362383097410202
58,0.43780064582824707
59,0.5121263861656189
60,0.6107678413391113
61,0.40616539120674133
62,0.1340939849615097
63,0.3229905068874359
64,0.35445019602775574
65,0.5328332185745239
66,0.5425457954406738
67,0.41269561648368835
68,0.3082500994205475
69,0.45692601799964905
70,0.43478941917419434
71,0.36219871044158936
72,0.3782781660556793
73,0.44123902916908264
74,0.3271237909793854
75,0.44584766030311584
76,0.05170493945479393
77,0.6181452870368958
78,0.6142767071723938
79,0.5805865526199341
80,0.8367011547088623
81,0.4959956407546997
82,0.619809627532959
83,0.5133818984031677
84,0.8449860215187073
85,0.6445742845535278
86,0.11833155900239944
87,0.749485969543457
88,0.2569870352745056
89,0.8667178750038147
90,0.33047303557395935
91,0.5490591526031494
92,0.46847718954086304
93,0.5100131034851074
94,0.46851855516433716
95,0.3531143069267273
96,0.47913438081741333
97,0.3950439393520355
98,0.5431197881698608
99,0.5885854959487915
100,0.3959695100784302
101,0.43725162744522095
102,0.40504035353660583
103,0.24812103807926178
104,0.44039222598075867
105,0.5628254413604736
106,0.25311198830604553
107,0.1662067174911499
108,0.4107256233692169
109,0.6474086046218872
110,0.2964722514152527
111,0.4606514573097229
112,0.33376771211624146
113,0.334985613822937
114,0.3468624949455261
115,0.031518470495939255
116,0.43954506516456604
117,0.28699517250061035
118,0.45115989446640015
119,0.38790053129196167
120,0.10015807300806046
121,0.4552110433578491
122,0.5497397780418396
123,0.5631168484687805
124,0.6945009827613831
125,0.46535059809684753
126,0.4222268760204315
127,0.36924242973327637
128,0.244057759642601
129,0.40714481472969055
130,0.2990127205848694
131,0.5916715860366821
132,0.23570150136947632
133,0.5159784555435181
134,0.5700244307518005
135,0.4733073115348816
