epoch,step,train/alpha_mean_epoch,train/alpha_mean_step,train/loss_epoch,train/loss_step,train/nll_epoch,train/nll_step,train/pearson_epoch,train/pearson_step,val/alpha_mean,val/loss,val/nll,val/pearson
0,49,,0.19129425287246704,,3.814277410507202,,29.212099075317383,,0.873937726020813,,,,
0,99,,0.03605395555496216,,1.5621140003204346,,6.466219902038574,,0.9118866920471191,,,,
0,149,,0.01829652115702629,,1.4845705032348633,,5.86820125579834,,0.8959206938743591,,,,
0,199,,0.009475011378526688,,1.428034782409668,,5.669654846191406,,0.8601217269897461,,,,
0,249,,0.004264893010258675,,1.277184247970581,,5.625715255737305,,0.7141861319541931,,,,
0,299,,0.001952762366272509,,1.2145237922668457,,5.709754467010498,,0.6433530449867249,,,,
0,349,,0.0015331050381064415,,1.240386962890625,,5.686436653137207,,0.6715899109840393,,,,
0,399,,0.0013554428005591035,,1.191769003868103,,5.671785354614258,,0.6244548559188843,,,,
0,449,,0.0013248103205114603,,1.2047191858291626,,5.704277992248535,,0.6341589689254761,,,,
0,499,,0.001204184372909367,,1.189821720123291,,5.7134528160095215,,0.6183559894561768,,,,
0,549,,0.001222386839799583,,1.1736845970153809,,5.661154747009277,,0.6074469089508057,,,,
0,599,,0.0013341517187654972,,1.1465531587600708,,5.604304313659668,,0.585989236831665,,,,
0,604,,,,,,,,,0.0012437935220077634,1.173933982849121,5.60504150390625,0.6133055090904236
0,604,0.04281775653362274,,2.2791967391967773,,15.518364906311035,,0.723080575466156,,,,,
1,649,,0.0009988372912630439,,1.1693923473358154,,5.608417510986328,,0.6084507703781128,,,,
1,699,,0.0012076079146936536,,1.2001575231552124,,5.772472858428955,,0.6227895021438599,,,,
1,749,,0.0011642121244221926,,1.1029826402664185,,5.402918815612793,,0.5625742673873901,,,,
1,799,,0.0011383492965251207,,1.1308459043502808,,5.5561957359313965,,0.5751124620437622,,,,
1,849,,0.0011433785548433661,,1.1160945892333984,,5.542877674102783,,0.561692476272583,,,,
1,899,,0.0010623728157952428,,1.1452733278274536,,5.5553178787231445,,0.5896352529525757,,,,
1,949,,0.0011068616295233369,,1.1388546228408813,,5.523543357849121,,0.5863895416259766,,,,
1,999,,0.0012008377816528082,,1.1486163139343262,,5.572491645812988,,0.5912470817565918,,,,
1,1049,,0.0010141903767362237,,1.1689547300338745,,5.674378395080566,,0.6014155149459839,,,,
1,1099,,0.001168073620647192,,1.1288158893585205,,5.580577850341797,,0.5706412196159363,,,,
1,1149,,0.0010440717451274395,,1.103384017944336,,5.474808692932129,,0.5557986497879028,,,,
1,1199,,0.0010910191340371966,,1.1837667226791382,,5.647656440734863,,0.6188920736312866,,,,
1,1209,,,,,,,,,0.0011092729400843382,1.158434271812439,5.569693088531494,0.6013540625572205
1,1209,0.0011329913977533579,,1.1559925079345703,,5.597414970397949,,0.5961380004882812,,,,,
2,1249,,0.0012020855210721493,,1.1593742370605469,,5.560667991638184,,0.6031872034072876,,,,
2,1299,,0.001055006287060678,,1.1372743844985962,,5.55104923248291,,0.5820639729499817,,,,
2,1349,,0.0010805190540850163,,1.1525723934173584,,5.599854469299316,,0.5924789309501648,,,,
2,1399,,0.0012007806217297912,,1.1296831369400024,,5.539218425750732,,0.5756412744522095,,,,
2,1449,,0.0010156219359487295,,1.1420687437057495,,5.569830894470215,,0.5849840641021729,,,,
2,1499,,0.001154028344899416,,1.1450138092041016,,5.507781982421875,,0.5941201448440552,,,,
2,1549,,0.0010831683175638318,,1.1495414972305298,,5.468536376953125,,0.6025795340538025,,,,
2,1599,,0.0010428597452118993,,1.1364609003067017,,5.580698013305664,,0.5782868266105652,,,,
2,1649,,0.0010871592676267028,,1.1198570728302002,,5.570038795471191,,0.5627444386482239,,,,
2,1699,,0.0011370934080332518,,1.1717660427093506,,5.6993303298950195,,0.6017192006111145,,,,
2,1749,,0.0013049342669546604,,1.085961103439331,,5.5832037925720215,,0.5275101661682129,,,,
2,1799,,0.0011939628748223186,,1.1283445358276367,,5.626976013183594,,0.5655275583267212,,,,
2,1814,,,,,,,,,0.001123244408518076,1.1526403427124023,5.561600208282471,0.5963679552078247
2,1814,0.0011140689020976424,,1.1469337940216064,,5.577088356018066,,0.5891138911247253,,,,,
3,1849,,0.001146176247857511,,1.1664828062057495,,5.691827774047852,,0.5971854329109192,,,,
3,1899,,0.0012501967139542103,,1.110149621963501,,5.466180801391602,,0.5634064674377441,,,,
3,1949,,0.0010184153215959668,,1.1447391510009766,,5.542627334594727,,0.5903746485710144,,,,
3,1999,,0.0011513509089127183,,1.1176332235336304,,5.563197135925293,,0.561198353767395,,,,
3,2049,,0.0010347741190344095,,1.1227660179138184,,5.517233371734619,,0.5709391832351685,,,,
3,2099,,0.0011738614412024617,,1.1455732583999634,,5.556075096130371,,0.5898483991622925,,,,
3,2149,,0.001096365973353386,,1.1576781272888184,,5.60942268371582,,0.5966262221336365,,,,
3,2199,,0.001182585023343563,,1.1348416805267334,,5.585951328277588,,0.5761282444000244,,,,
3,2249,,0.0011372434673830867,,1.1150829792022705,,5.436265468597412,,0.5713427662849426,,,,
3,2299,,0.0013076751492917538,,1.1593537330627441,,5.5711588859558105,,0.602107048034668,,,,
3,2349,,0.0011019498342648149,,1.1309823989868164,,5.441304683685303,,0.5867418050765991,,,,
3,2399,,0.001141520100645721,,1.1618072986602783,,5.5221757888793945,,0.6094754934310913,,,,
3,2419,,,,,,,,,0.0011694697896018624,1.1480576992034912,5.538653373718262,0.5940753221511841
3,2419,0.0011414627078920603,,1.1412938833236694,,5.561335563659668,,0.5850462317466736,,,,,
4,2449,,0.0012531513348221779,,1.1463145017623901,,5.51270866394043,,0.5949182510375977,,,,
4,2499,,0.0012106660287827253,,1.1195054054260254,,5.5298895835876465,,0.5663954019546509,,,,
4,2549,,0.0010169264860451221,,1.2112114429473877,,5.7202911376953125,,0.6390806436538696,,,,
4,2599,,0.0012808123137801886,,1.1509414911270142,,5.594738960266113,,0.5913395285606384,,,,
4,2649,,0.0009251770679838955,,1.0849051475524902,,5.392739295959473,,0.5455387830734253,,,,
4,2699,,0.0012327516451478004,,1.125584602355957,,5.563591003417969,,0.5691022872924805,,,,
4,2749,,0.0010950661962851882,,1.141335129737854,,5.635231018066406,,0.5777024030685425,,,,
4,2799,,0.0011286933440715075,,1.1266189813613892,,5.545836448669434,,0.5719224214553833,,,,
4,2849,,0.0010836283909156919,,1.1521419286727905,,5.540899276733398,,0.5979436635971069,,,,
4,2899,,0.0011375771136954427,,1.1333041191101074,,5.5946574211120605,,0.5737245678901672,,,,
4,2949,,0.0010578252840787172,,1.137026309967041,,5.596944332122803,,0.5772261023521423,,,,
4,2999,,0.0010694066295400262,,1.142234444618225,,5.6490397453308105,,0.577223539352417,,,,
4,3024,,,,,,,,,0.0011453997576609254,1.1452600955963135,5.541646957397461,0.5909807085990906
4,3024,0.001123541034758091,,1.1375023126602173,,5.551496505737305,,0.5822399258613586,,,,,
5,3049,,0.001105011790059507,,1.153365135192871,,5.6451005935668945,,0.588744580745697,,,,
5,3099,,0.0013580373488366604,,1.1276780366897583,,5.5595855712890625,,0.57158362865448,,,,
5,3149,,0.001050477265380323,,1.1629866361618042,,5.579654693603516,,0.6049160957336426,,,,
5,3199,,0.0011245107743889093,,1.176395297050476,,5.575729846954346,,0.6187098622322083,,,,
5,3249,,0.0012112032854929566,,1.147212028503418,,5.563730716705322,,0.5907177925109863,,,,
5,3299,,0.0010313567472621799,,1.1471840143203735,,5.504263877868652,,0.5966545343399048,,,,
5,3349,,0.0011228128569200635,,1.1567139625549316,,5.557833671569824,,0.6008182764053345,,,,
5,3399,,0.0011786696268245578,,1.1605111360549927,,5.6308979988098145,,0.5973033905029297,,,,
5,3449,,0.0010865583317354321,,1.0977929830551147,,5.475899696350098,,0.5500943660736084,,,,
5,3499,,0.0011574990348890424,,1.1032534837722778,,5.464026927947998,,0.5567350387573242,,,,
5,3549,,0.001235920819453895,,1.0997031927108765,,5.477342128753662,,0.5518454313278198,,,,
5,3599,,0.0010644110152497888,,1.15054190158844,,5.538022518157959,,0.5966331362724304,,,,
5,3629,,,,,,,,,0.001199105754494667,1.143813967704773,5.530895709991455,0.590604305267334
5,3629,0.0011108251055702567,,1.134774923324585,,5.5463480949401855,,0.5800285339355469,,,,,
6,3649,,0.0011788619449362159,,1.1476309299468994,,5.606280326843262,,0.5868849754333496,,,,
6,3699,,0.0011456480715423822,,1.1649473905563354,,5.636896133422852,,0.6011431217193604,,,,
6,3749,,0.0010546346893534064,,1.0900520086288452,,5.44570255279541,,0.5453763008117676,,,,
6,3799,,0.0010573163162916899,,1.1397732496261597,,5.626182556152344,,0.5770492553710938,,,,
6,3849,,0.0009509360534138978,,1.1274805068969727,,5.5252275466918945,,0.5748625993728638,,,,
6,3899,,0.0010532893938943744,,1.111323595046997,,5.4642333984375,,0.5647947788238525,,,,
6,3949,,0.0010244030272588134,,1.160629153251648,,5.630125999450684,,0.5975141525268555,,,,
6,3999,,0.0010895718587562442,,1.1541004180908203,,5.570706367492676,,0.5969207286834717,,,,
6,4049,,0.0010353795951232314,,1.1464056968688965,,5.597406387329102,,0.5865614414215088,,,,
6,4099,,0.0011258642189204693,,1.1406092643737793,,5.599944114685059,,0.5805023908615112,,,,
6,4149,,0.0010445935185998678,,1.0835816860198975,,5.4001336097717285,,0.543463945388794,,,,
6,4199,,0.0010618687374517322,,1.1293076276779175,,5.565157890319824,,0.5726855397224426,,,,
6,4234,,,,,,,,,0.0011263997294008732,1.1412389278411865,5.533069133758545,0.5878192782402039
6,4234,0.001099645858630538,,1.1324687004089355,,5.541773319244385,,0.578181266784668,,,,,
7,4249,,0.0011631879024207592,,1.1247859001159668,,5.548931121826172,,0.5697764158248901,,,,
