sequence_index,pearson_r
0,0.3798750936985016
1,0.3619605302810669
2,0.6428946256637573
3,0.5868741869926453
4,0.12708881497383118
5,0.16250251233577728
6,0.708109974861145
7,0.49984923005104065
8,0.5242497324943542
9,0.36020419001579285
10,0.2611154019832611
11,0.18854907155036926
12,0.6053376793861389
13,0.11180540919303894
14,0.35313844680786133
15,0.33817258477211
16,0.6911507248878479
17,0.3745517432689667
18,0.509949803352356
19,0.5503864884376526
20,0.5336111187934875
21,0.45289725065231323
22,0.2966803312301636
23,0.498762845993042
24,0.09230366349220276
25,0.21215030550956726
26,0.4621199369430542
27,0.6780985593795776
28,0.4802207052707672
29,0.5557446479797363
30,0.19572103023529053
31,0.24442365765571594
32,0.27485260367393494
33,0.5674267411231995
34,0.27456018328666687
35,0.26873236894607544
36,0.5272112488746643
37,0.0950145423412323
38,0.33922117948532104
39,0.6676267981529236
40,0.5139374136924744
41,0.430160254240036
42,0.39999887347221375
43,0.699489951133728
44,0.5744606852531433
45,0.4993222951889038
46,0.16693253815174103
47,0.17255178093910217
48,0.5202168226242065
49,0.19293220341205597
50,0.5414437055587769
51,0.3947356939315796
52,0.5803609490394592
53,0.3182920813560486
54,0.5979067087173462
55,0.7297597527503967
56,0.2646963894367218
57,0.3815385401248932
58,0.44092637300491333
59,0.6138609647750854
60,0.7038294076919556
61,0.5065324306488037
62,0.21986103057861328
63,0.2724498212337494
64,0.3756529986858368
65,0.5434247851371765
66,0.5241048336029053
67,0.48098665475845337
68,0.3916372060775757
69,0.46553751826286316
70,0.43716591596603394
71,0.3265378475189209
72,0.3355714678764343
73,0.16233184933662415
74,0.42358168959617615
75,0.46263715624809265
76,0.05839214473962784
77,0.8314898014068604
78,0.6235191226005554
79,0.6066046953201294
80,0.827934741973877
81,0.5281326770782471
82,0.6222924590110779
83,0.5207421779632568
84,0.8775755763053894
85,0.6229393482208252
86,0.14776085317134857
87,0.7410133481025696
88,0.2813946306705475
89,0.8816922903060913
90,0.36472198367118835
91,0.5564286708831787
92,0.5349944829940796
93,0.5249532461166382
94,0.4622451961040497
95,0.33098965883255005
96,0.5035325884819031
97,0.40748628973960876
98,0.5738522410392761
99,0.5623964071273804
100,0.451993465423584
101,0.44485488533973694
102,0.48558416962623596
103,0.22473393380641937
104,0.4937950670719147
105,0.6097819209098816
106,0.22823114693164825
107,0.04840906336903572
108,0.419212281703949
109,0.6564556956291199
110,0.2822405695915222
111,0.45610612630844116
112,0.3976186513900757
113,0.3299030065536499
114,0.23154692351818085
115,0.07527047395706177
116,0.481487512588501
117,0.3171539306640625
118,0.48485201597213745
119,0.3993544578552246
120,0.08487717062234879
121,0.4611324369907379
122,0.44053807854652405
123,0.6253871917724609
124,0.7066335678100586
125,0.3575375974178314
126,0.45673954486846924
127,0.4438599646091461
128,0.22976766526699066
129,0.46198299527168274
130,0.3207208216190338
131,0.5892127156257629
132,0.2112385630607605
133,0.4971792697906494
134,0.652430534362793
135,0.4366583228111267
136,0.33165809512138367
137,0.33438366651535034
138,0.6768220067024231
139,0.6297473907470703
140,0.4136911928653717
141,0.19725757837295532
142,0.2816210985183716
143,0.6402465105056763
144,0.4148373603820801
145,0.4069729149341583
146,0.32780975103378296
147,0.6771281361579895
148,0.20329177379608154
149,0.4233381748199463
150,0.2528808116912842
151,0.4785504639148712
152,0.611055314540863
153,0.5233462452888489
154,0.6551295518875122
155,0.5086524486541748
156,0.29047104716300964
157,0.02034918963909149
158,0.3556138575077057
159,0.4999212622642517
160,0.4807319641113281
161,0.3336196839809418
162,0.6948862075805664
163,0.14411309361457825
164,0.6238720417022705
165,0.6348443627357483
166,0.5121534466743469
167,0.7078328728675842
168,0.29086971282958984
169,0.32971927523612976
170,0.16591671109199524
171,0.41587603092193604
172,0.19128648936748505
173,0.7520189881324768
174,0.5391363501548767
175,0.5665902495384216
176,0.5333421230316162
177,0.35881665349006653
178,0.3073425889015198
179,0.33588945865631104
180,0.5928739309310913
181,0.4895811975002289
182,0.38625261187553406
183,0.26799243688583374
184,0.4361177980899811
185,0.6750580668449402
186,0.3817676305770874
187,0.54705411195755
188,0.3975725471973419
189,0.5712589025497437
190,-0.0642365887761116
191,0.7443373203277588
192,0.2428290843963623
193,0.32697972655296326
194,0.4173473119735718
195,0.23858360946178436
196,0.5823990106582642
197,0.6996816396713257
198,0.5015746355056763
199,0.5406525135040283
200,0.4035978615283966
201,0.4672485589981079
202,0.28690677881240845
203,0.6601051092147827
204,0.29977092146873474
205,0.5178220272064209
206,0.26245927810668945
207,0.7897351980209351
208,0.4958541989326477
209,0.23715826869010925
210,0.4597088098526001
211,0.45262834429740906
212,0.39386600255966187
213,0.5069589614868164
214,0.5100678205490112
215,0.5891624689102173
216,0.6156743168830872
217,0.3680366277694702
218,0.4435485899448395
219,0.3165062665939331
220,0.35403820872306824
221,0.24820773303508759
222,0.313512921333313
223,0.04711439460515976
224,0.5470129251480103
225,0.5512363910675049
226,0.5345133543014526
227,0.5048701763153076
228,0.36732015013694763
229,0.7066453695297241
230,0.12841708958148956
231,0.3266366720199585
232,0.493582159280777
233,0.3805721700191498
234,0.3426777720451355
