sequence_index,pearson_r_baseline,pearson_r_standard,pearson_r_qlayer
0,0.20582395792007446,0.22358770668506622,0.37292802333831787
1,0.1647319793701172,0.201752707362175,0.3696421682834625
2,0.35919028520584106,0.37483248114585876,0.6122860312461853
3,0.29992201924324036,0.42110714316368103,0.5999261140823364
4,0.15061181783676147,0.14987345039844513,0.17795845866203308
5,-0.00118293019477278,0.12001122534275055,0.28667327761650085
6,0.7133206129074097,0.7505022883415222,0.8673843741416931
7,0.08891355991363525,0.23131594061851501,0.49433988332748413
8,0.15598317980766296,0.3352767527103424,0.5216080546379089
9,0.20620200037956238,0.27571171522140503,0.2373184859752655
10,0.1321839988231659,0.19463171064853668,0.21513451635837555
11,0.12325871735811234,0.14884494245052338,0.2166202813386917
12,0.261780709028244,0.3413969874382019,0.5348087549209595
13,0.12000022083520889,0.10884840786457062,0.18217037618160248
14,0.17889289557933807,0.20512212812900543,0.3521229326725006
15,0.10841741412878036,0.20785631239414215,0.29987284541130066
16,0.3233937919139862,0.46736764907836914,0.6400604248046875
17,0.17463251948356628,0.18802323937416077,0.31506839394569397
18,0.2769739031791687,0.3537157475948334,0.5587534308433533
19,0.17224694788455963,0.25288811326026917,0.2956036329269409
20,0.2994227707386017,0.3061217963695526,0.5114240646362305
21,0.1888476461172104,0.2717714309692383,0.4867490530014038
22,0.1926776021718979,0.21774478256702423,0.3034513592720032
23,0.21982704102993011,0.2939040958881378,0.5120631456375122
24,0.04150393232703209,0.049196794629096985,0.07721602916717529
25,0.14510615170001984,0.18965835869312286,0.278228759765625
26,0.2745264172554016,0.40626874566078186,0.42461588978767395
27,0.1662985384464264,0.25619202852249146,0.43692535161972046
28,0.12654446065425873,0.28149446845054626,0.5170128345489502
29,0.3319651186466217,0.3854128420352936,0.5601159930229187
30,0.1542411893606186,0.16216544806957245,0.25136080384254456
31,0.03713975474238396,0.04855124279856682,0.13027772307395935
32,0.16123849153518677,0.18435539305210114,0.2508295476436615
33,0.30999991297721863,0.39467841386795044,0.5330507755279541
34,0.1653810441493988,0.19153030216693878,0.375281423330307
35,0.1913442462682724,0.2045428305864334,0.259883314371109
36,0.2890619933605194,0.3613452911376953,0.5339013338088989
37,0.01435302197933197,0.10557311773300171,0.024714281782507896
38,0.09560555219650269,0.0971064493060112,0.1358911544084549
39,0.3234052062034607,0.35616013407707214,0.692852258682251
40,0.291612833738327,0.3046428859233856,0.5372246503829956
41,0.09944289922714233,0.23391270637512207,0.4760003685951233
42,0.16898849606513977,0.2260170727968216,0.4386309087276459
43,0.16233037412166595,0.3454204499721527,0.498457133769989
44,0.3098159432411194,0.4011971056461334,0.571963369846344
45,0.1522684097290039,0.28594693541526794,0.4720945656299591
46,0.0947531908750534,0.13267941772937775,0.13176032900810242
47,0.07020939886569977,0.1102026179432869,0.17036224901676178
48,0.28879258036613464,0.39933905005455017,0.4616382122039795
49,0.1224454864859581,0.08466789871454239,0.14556346833705902
50,0.24090489745140076,0.31309741735458374,0.539132833480835
51,0.13313719630241394,0.13685184717178345,0.3452112376689911
52,0.18998737633228302,0.3710385262966156,0.5954523086547852
53,0.1482880562543869,0.1599564254283905,0.2962496280670166
54,0.3250809609889984,0.3647782802581787,0.5289647579193115
55,0.2688318192958832,0.5013778209686279,0.7509472966194153
56,0.09132163226604462,0.03985467925667763,0.15535396337509155
57,0.22235107421875,0.22534124553203583,0.34170597791671753
58,0.17935651540756226,0.293462336063385,0.41231295466423035
59,0.17426283657550812,0.2717449963092804,0.5432898998260498
60,0.43714481592178345,0.4962783753871918,0.6360890865325928
61,0.2511258125305176,0.280602365732193,0.4461849331855774
62,0.11164472997188568,0.12829473614692688,0.12041628360748291
63,0.06179763376712799,0.12116430699825287,0.2809238135814667
64,0.18231835961341858,0.22394421696662903,0.36621516942977905
65,0.2650788128376007,0.30860769748687744,0.5174244046211243
66,0.2452194094657898,0.38554561138153076,0.5417242646217346
67,0.19236943125724792,0.24270714819431305,0.3904434144496918
68,0.20582661032676697,0.24221044778823853,0.30811646580696106
69,0.2337861955165863,0.2799606919288635,0.4795587360858917
70,0.25402480363845825,0.26134634017944336,0.4520108103752136
71,0.06545397639274597,0.16991908848285675,0.5069934129714966
72,0.10636844485998154,0.18989866971969604,0.3000932037830353
73,0.14863628149032593,0.20963673293590546,0.37484869360923767
74,0.09950020164251328,0.15974508225917816,0.2773667871952057
75,0.2752748131752014,0.33231791853904724,0.4250008761882782
76,0.10127109289169312,0.0728040337562561,0.05323789268732071
77,0.22705315053462982,0.42877382040023804,0.5594911575317383
78,0.21220262348651886,0.3365173637866974,0.519710123538971
79,0.1172628402709961,0.4428982734680176,0.5997856855392456
80,0.36253952980041504,0.5980997681617737,0.7824376225471497
81,0.22385412454605103,0.3503805696964264,0.5145134329795837
82,0.3579448163509369,0.49215516448020935,0.6322089433670044
83,0.19457006454467773,0.35259562730789185,0.5198811292648315
84,0.3434810936450958,0.6725978255271912,0.801382839679718
85,0.3262960910797119,0.405932754278183,0.6689743399620056
86,0.11393105983734131,0.10724156349897385,0.0505954809486866
87,0.42237287759780884,0.543415904045105,0.6850019693374634
88,0.20612992346286774,0.19051778316497803,0.24315856397151947
89,0.5123770236968994,0.7396738529205322,0.8348404765129089
90,0.10640570521354675,0.15473297238349915,0.3493525981903076
91,0.23797090351581573,0.322889506816864,0.5383983254432678
92,0.30382296442985535,0.33485060930252075,0.5006416440010071
93,0.17630299925804138,0.357115775346756,0.4832639694213867
94,0.1892617791891098,0.2958607077598572,0.49113383889198303
95,0.12895514070987701,0.20094576478004456,0.3086681663990021
96,0.17270371317863464,0.29067176580429077,0.5068421959877014
97,0.08343624323606491,0.14268052577972412,0.3700631260871887
98,0.21958914399147034,0.25277021527290344,0.5518293976783752
99,0.3396773636341095,0.3726740777492523,0.5830633044242859
100,0.18241988122463226,0.21050499379634857,0.3478300869464874
101,0.22585900127887726,0.2641266882419586,0.42306002974510193
102,0.08806193619966507,0.2266850471496582,0.39354124665260315
103,0.06918126344680786,0.09467266499996185,0.20686747133731842
104,0.21545249223709106,0.27468815445899963,0.4648491442203522
105,0.18111997842788696,0.32259395718574524,0.5259978771209717
106,0.23481880128383636,0.1658976972103119,0.2691614031791687
107,0.1353425234556198,0.1673535257577896,0.13100188970565796
108,0.16709408164024353,0.24241510033607483,0.45402562618255615
109,0.16744497418403625,0.3000105917453766,0.5822013020515442
110,0.146592915058136,0.22958727180957794,0.21643248200416565
111,0.17070609331130981,0.29197895526885986,0.4584774076938629
112,0.21087229251861572,0.3003471791744232,0.24061428010463715
113,0.18869510293006897,0.20402652025222778,0.331604927778244
114,0.2250869870185852,0.21816113591194153,0.34153300523757935
115,0.12814569473266602,0.12074967473745346,0.05688093975186348
116,0.21510069072246552,0.32918551564216614,0.4327167570590973
117,0.285520076751709,0.2847796380519867,0.3035067915916443
118,0.25712406635284424,0.3115898072719574,0.4853720963001251
119,0.12810133397579193,0.2503681182861328,0.3614031970500946
120,0.0980839654803276,0.07991855591535568,0.038992710411548615
121,0.1914709359407425,0.336467444896698,0.4603637754917145
122,0.15126654505729675,0.2608211636543274,0.4578129053115845
123,0.2335370033979416,0.3683265447616577,0.5555734634399414
124,0.34799501299858093,0.42737630009651184,0.7106825709342957
125,0.20269130170345306,0.24460867047309875,0.4317532479763031
126,0.20737609267234802,0.27368488907814026,0.46025919914245605
127,0.14775167405605316,0.19863177835941315,0.3826127052307129
128,0.09052354097366333,0.12308638542890549,0.18889297544956207
129,0.20140200853347778,0.24198190867900848,0.4362594187259674
130,0.11364026367664337,0.13359452784061432,0.24472910165786743
131,0.13491345942020416,0.32890692353248596,0.5310255289077759
