epoch,step,train/alpha_mean_epoch,train/alpha_mean_step,train/loss_epoch,train/loss_step,train/nll_epoch,train/nll_step,train/pearson_epoch,train/pearson_step,train/phase_reg,val/alpha_mean,val/loss,val/nll,val/pearson,val/phase_reg,model
0,610,0.1842274963855743,0.0446903966367244,93.11714935302734,1.9641733169555664,921.1633911132812,9.90651035308838,0.9821928143501282,0.968839168548584,0.0214038640260696,0.043156411498785,1.8450802564620967,8.839898109436035,0.9565609693527222,0.0214113928377628,qlayer
1,1221,0.027440832927823,0.0197465196251869,1.629798412322998,1.539787530899048,6.941740989685059,6.36286735534668,0.9326664805412292,0.9013127088546752,0.021339738741517,0.0197749491780996,1.5454005002975464,6.375473499298096,0.9056628942489624,0.0213319510221481,qlayer
2,1832,0.0163279231637716,0.0133797628805041,1.5160675048828125,1.5131356716156006,6.294129371643066,6.337212562561035,0.8848093152046204,0.8778654336929321,0.0211037695407867,0.0138326976448297,1.4892312288284302,6.230036735534668,0.8646337389945984,0.0210897903889417,qlayer
3,2443,0.012025692500174,0.0107512092217803,1.4696996212005615,1.4354578256607056,6.221550464630127,6.185654640197754,0.8461321592330933,0.8156088590621948,0.0208429936319589,0.0104303658008575,1.4478074312210083,6.202266693115234,0.8263295292854309,0.0208236929029226,qlayer
4,3054,0.0090044038370251,0.0088368933647871,1.4055299758911133,1.3475439548492432,6.142181873321533,5.948779106140137,0.7902045845985413,0.7515766024589539,0.0205708388239145,0.0088193854317069,1.3634772300720217,6.019139766693115,0.7604755759239197,0.0205680336803197,qlayer
5,3665,0.0091776400804519,0.0093273883685469,1.3335143327713013,1.351759433746338,5.918605804443359,5.936343193054199,0.7405328750610352,0.7569898366928101,0.0202639810740947,0.0093779051676392,1.3213337659835815,5.853172779083252,0.7348760962486267,0.020254474133253,qlayer
6,4276,0.0091760149225592,0.0087288143113255,1.306989073753357,1.2918990850448608,5.819096565246582,5.857504844665527,0.7239603400230408,0.7050765156745911,0.0199163053184747,0.0089572835713624,1.303807258605957,5.803289890289307,0.7223836183547974,0.0198989883065223,qlayer
7,4887,0.0086002256721258,0.0080689918249845,1.2896379232406616,1.292810320854187,5.786182880401611,5.794448852539063,0.709963858127594,0.7123632431030273,0.0195255391299724,0.0082921301946043,1.2841753959655762,5.766297340393066,0.7065216898918152,0.0194989256560802,qlayer
8,5498,0.0078864023089408,0.0078426217660307,1.271053671836853,1.2914050817489624,5.762970924377441,5.757106781005859,0.6937755942344666,0.7147192358970642,0.019090186804533,0.0076967645436525,1.2669174671173096,5.732982158660889,0.6926589012145996,0.0190516877919435,qlayer
9,6109,0.0072850799188017,0.0069074425846338,1.2542160749435425,1.2443901300430298,5.730815410614014,5.722780704498291,0.6802184581756592,0.6712357401847839,0.0185601022094488,0.0070256795734167,1.2505651712417605,5.700076103210449,0.6796696186065674,0.0185508970171213,qlayer
10,6720,0.0068454383872449,0.0064816153608262,1.2383533716201782,1.2726167440414429,5.697904586791992,5.756484508514404,0.6676954627037048,0.6961400508880615,0.0180000569671392,0.0067782560363411,1.2366787195205688,5.672692775726318,0.6685517430305481,0.0179779548197984,qlayer
11,7331,0.0065025594085454,0.0060442495159804,1.2250752449035645,1.2277464866638184,5.673694610595703,5.7156267166137695,0.6568793058395386,0.6554058194160461,0.0173601228743791,0.0063779563643038,1.22558856010437,5.651868343353272,0.6595908403396606,0.0173208471387624,qlayer
12,7942,0.0061338632367551,0.0060178712010383,1.2141189575195312,1.2254172563552856,5.653806686401367,5.616978645324707,0.6479558348655701,0.6629514098167419,0.016622019931674,0.0060725370422005,1.21593177318573,5.629038333892822,0.6522549986839294,0.0165654346346855,qlayer
13,8553,0.005854332819581,0.0057032145559787,1.2053792476654053,1.2260353565216064,5.637570381164551,5.665946960449219,0.640875518321991,0.6587132811546326,0.0157099701464176,0.0058435136452317,1.2090829610824585,5.625988006591797,0.645742654800415,0.0157021600753068,qlayer
14,9164,0.005631448701024,0.0054108537733554,1.197950005531311,1.2085044384002686,5.625154972076416,5.683205604553223,0.6347182989120483,0.6394950747489929,0.014770220965147,0.0055585438385605,1.2023504972457886,5.616406440734863,0.6400067210197449,0.0147436866536736,qlayer
15,9775,0.0054354658350348,0.0055305552668869,1.1917542219161987,1.1702685356140137,5.615599155426025,5.615897178649902,0.6295088529586792,0.6079883575439453,0.0137495677918195,0.0052885808981955,1.1963258981704712,5.605237483978272,0.6351360082626343,0.0136983692646026,qlayer
16,10386,0.0052266274578869,0.0051609380170702,1.186124324798584,1.1546611785888672,5.607785224914551,5.519084453582764,0.6246910095214844,0.6021103262901306,0.0126370741054415,0.0050381766632199,1.1915959119796753,5.604459762573242,0.6305204629898071,0.0125626008957624,qlayer
17,10997,0.0050414698198437,0.0049416571855545,1.1812642812728882,1.1503045558929443,5.603395462036133,5.549704074859619,0.6203001737594604,0.5947254300117493,0.0114553282037377,0.0050461096689105,1.1864964962005615,5.586884021759033,0.6271902918815613,0.0113575430586934,qlayer
18,11608,0.0049136946909129,0.0048483763821423,1.1770013570785522,1.173449158668518,5.599281311035156,5.555817127227783,0.6164754629135132,0.6172813773155212,0.0101181464269757,0.004811436869204,1.1838353872299194,5.608500957489014,0.6224032640457153,0.0100966673344373,qlayer
19,12219,0.0047909966669976,0.0048414808697998,1.1736371517181396,1.1726943254470823,5.59760046005249,5.640835762023926,0.6133038997650146,0.6080384850502014,0.0088267680257558,0.004774734377861,1.181512475013733,5.58644962310791,0.6223024129867554,0.0087806601077318,qlayer
20,12830,0.00467876996845,0.0047843852080404,1.171070218086243,1.186187505722046,5.59609317779541,5.639313697814941,0.6109117269515991,0.6217026710510254,0.0075015504844486,0.0045474325306713,1.1787790060043335,5.589674949645996,0.6192822456359863,0.0074356803670525,qlayer
21,13441,0.0045945416204631,0.0045256060548126,1.1685504913330078,1.1817851066589355,5.594122886657715,5.598282814025879,0.6086119413375854,0.621442437171936,0.0061870422214269,0.004448652267456,1.1753573417663574,5.601011276245117,0.6147505640983582,0.0060924682766199,qlayer
22,14052,0.0045104045420885,0.0043685957789421,1.1666842699050903,1.199971318244934,5.592805862426758,5.767830848693848,0.6068982481956482,0.6227031946182251,0.0048197503201663,0.0042994250543415,1.1735557317733765,5.600889682769775,0.6129886507987976,0.0048119407147169,qlayer
