epoch,step,train/alpha_mean_epoch,train/alpha_mean_step,train/loss_epoch,train/loss_step,train/nll_epoch,train/nll_step,train/pearson_epoch,train/pearson_step,val/alpha_mean,val/loss,val/nll,val/pearson,model
0,610,0.078827679157257,0.0055908351205289,4.241344928741455,1.363755702972412,34.36737060546875,5.805704116821289,0.7967254519462585,0.7826262712478638,0.0055826576426625,1.341860055923462,5.685778617858887,0.7727239727973938,standard
1,1221,0.0051479097455739,0.0051425686106085,1.3216900825500488,1.2936352491378784,5.644890785217285,5.650744438171387,0.7566868662834167,0.7280465364456177,0.0051830811426043,1.31640625,5.603472709655762,0.755540668964386,standard
2,1832,0.0050524026155471,0.0049737133085727,1.304358959197998,1.2579598426818848,5.607255458831787,5.5388264656066895,0.7431280016899109,0.7035799026489258,0.0049349404871463,1.306709885597229,5.59651517868042,0.7465648651123047,standard
3,2443,0.0048210783861577,0.0048185507766902,1.29865825176239,1.3073586225509644,5.60496187210083,5.659012794494629,0.737679660320282,0.7409754991531372,0.0047355461865663,1.3038623332977295,5.594834327697754,0.743905246257782,standard
4,3054,0.0047490429133176,0.0046543711796402,1.2966901063919067,1.2824807167053225,5.601659297943115,5.552748203277588,0.7360491752624512,0.7267404794692993,0.0047459043562412,1.3025332689285278,5.5891432762146,0.7431443333625793,standard
5,3665,0.0047341957688331,0.0048020076937973,1.295827031135559,1.2921829223632812,5.599268913269043,5.545042991638184,0.7354260087013245,0.7371983528137207,0.0046192677691578,1.3019194602966309,5.58914041519165,0.7425435781478882,standard
6,4276,0.0047182184644043,0.004671033937484,1.2952609062194824,1.3181614875793457,5.597529411315918,5.671932220458984,0.7350360751152039,0.750501275062561,0.004672382492572,1.3014931678771973,5.587751388549805,0.7422505021095276,standard
7,4887,0.0047066179104149,0.0047190859913825,1.294866919517517,1.273494839668274,5.59641170501709,5.491785526275635,0.734754741191864,0.7238442897796631,0.0046975561417639,1.301099419593811,5.5860443115234375,0.7420251965522766,standard
8,5498,0.004686773288995,0.0048172743991017,1.294530987739563,1.2952171564102173,5.595751762390137,5.635332584381104,0.7344868183135986,0.7312021255493164,0.004701669793576,1.3008471727371216,5.58481502532959,0.7418953776359558,standard
9,6109,0.0046782391145825,0.0046920203603804,1.2942112684249878,1.3045661449432373,5.594862937927246,5.661439895629883,0.7342567443847656,0.7379529476165771,0.00465321354568,1.3006412982940674,5.584951400756836,0.7416809797286987,standard
10,6720,0.0046598664484918,0.0046060876920819,1.2939590215682983,1.3419394493103027,5.594523906707764,5.594261169433594,0.7340416312217712,0.782052755355835,0.0046293465420603,1.300273060798645,5.582932472229004,0.7415168285369873,standard
11,7331,0.0046614254824817,0.0047324774786829,1.293606877326965,1.2922773361206057,5.593164443969727,5.619167804718018,0.7338233590126038,0.7298872470855713,0.0045778392814099,1.299674153327942,5.580683708190918,0.7411478757858276,standard
