n_window,baseline,standard,qlayer
1,0.18915854764426418,0.2656454988927343,0.4073189824313608
5,0.3218164780846682,0.43072679951799986,0.5561604957005737
10,0.354604543520106,0.4839774327460161,0.5929489122636873
25,0.3822917186919926,0.5410426365092813,0.6289780053413755
50,0.40176217763132177,0.5742676564864863,0.6492280039762105
