model,pearson_mean,pearson_median,spearman_mean,spearman_median
baseline,0.18915854764426418,0.1787826269865036,0.07436091127797927,0.07457326352596283
standard,0.2656454988927343,0.25479280948638916,0.10649033680667323,0.10081958770751953
qlayer,0.4073189824313608,0.4053242653608322,0.10623135408507886,0.10429481789469719
