rank,protein,mean_alpha,std_alpha,exp_log_scale,effective_weight
144,LARP4_HepG2,1.3104773e-07,7.2572895e-08,0.99168956,1.2995866e-07
145,U2AF1_K562,1.2993918e-07,5.600456e-08,0.9874312,1.28306e-07
146,IGF2BP2_K562,1.2706649e-07,5.5796534e-08,0.9849259,1.2515108e-07
147,AARS_K562,1.2552748e-07,6.070061e-08,0.99078244,1.2437042e-07
148,RBM15_K562,1.2530589e-07,7.941033e-08,0.9944053,1.2460484e-07
149,RPS3_HepG2,1.240303e-07,5.207033e-08,0.99596643,1.2353001e-07
150,EIF4G2_K562,1.2267746e-07,6.506093e-08,0.99513656,1.2208083e-07
151,UCHL5_HepG2,1.2264215e-07,6.9049264e-08,0.9967129,1.2223902e-07
152,PRPF8_K562,1.2248366e-07,5.020279e-08,0.9852532,1.2067741e-07
153,GTF2F1_HepG2,1.207618e-07,6.361865e-08,0.9962249,1.2030591e-07
154,G3BP1_HepG2,1.1949243e-07,5.7789673e-08,0.99551725,1.1895677e-07
155,MTPAP_K562,1.1848476e-07,7.464689e-08,0.99758446,1.1819856e-07
156,NKRF_HepG2,1.1773509e-07,4.8980624e-08,0.98688287,1.1619074e-07
157,GRWD1_K562,1.16387476e-07,6.895663e-08,0.99639374,1.1596775e-07
158,MATR3_HepG2,1.1513612e-07,5.6913187e-08,0.99474007,1.1453051e-07
159,DHX30_K562,1.1494716e-07,5.4414414e-08,0.99413306,1.1427277e-07
160,SND1_K562,1.129449e-07,4.8848523e-08,0.99459934,1.12334924e-07
161,APOBEC3C_K562,1.12802105e-07,5.1041322e-08,0.99165964,1.118613e-07
162,POLR2G_HepG2,1.1131901e-07,5.8819634e-08,0.996502,1.1092961e-07
163,METAP2_K562,1.1125075e-07,5.0459043e-08,0.9968775,1.10903365e-07
164,FMR1_K562,1.1059316e-07,4.79856e-08,0.9934766,1.0987172e-07
165,DGCR8_HepG2,1.0989066e-07,4.843908e-08,0.9957678,1.0942557e-07
166,FASTKD2_K562,1.09366574e-07,5.3682633e-08,0.9964674,1.08980224e-07
167,ILF3_HepG2,1.08818256e-07,4.7884672e-08,0.9933223,1.08091605e-07
168,FAM120A_K562,1.0754202e-07,5.128288e-08,0.9937308,1.06867816e-07
169,SRSF9_HepG2,1.0748954e-07,5.0047262e-08,0.99525094,1.06979066e-07
170,PRPF8_HepG2,1.0723879e-07,5.153822e-08,0.9973857,1.0695843e-07
171,UTP18_HepG2,1.06851715e-07,4.9046744e-08,0.99826837,1.0666669e-07
172,EFTUD2_HepG2,1.062814e-07,5.2381477e-08,0.9959158,1.0584732e-07
173,AGGF1_K562,1.0627612e-07,4.790546e-08,0.9971791,1.05976326e-07
