sequence_index,pearson_r
0,0.35611873865127563
1,0.36339810490608215
2,0.5980014204978943
3,0.6009854674339294
4,0.19507092237472534
5,0.27282771468162537
6,0.859859824180603
7,0.5705788731575012
8,0.5122042298316956
9,0.34729331731796265
10,0.248580664396286
11,0.2554709315299988
12,0.5885703563690186
13,0.17438256740570068
14,0.3622041344642639
15,0.4956429600715637
16,0.7465595006942749
17,0.3236094117164612
18,0.5918317437171936
19,0.3445433974266052
20,0.5086581110954285
21,0.4814501702785492
22,0.2724016010761261
23,0.5447399020195007
24,0.07220524549484253
25,0.2866699993610382
26,0.4514469504356384
27,0.646328866481781
28,0.5264793038368225
29,0.5834554433822632
30,0.25193896889686584
31,0.07174454629421234
32,0.2873772382736206
33,0.5501024723052979
34,0.401053249835968
35,0.26276326179504395
36,0.5316992998123169
37,0.07220011204481125
38,0.16808980703353882
39,0.6756646037101746
40,0.5245740413665771
41,0.5437369346618652
42,0.4453958570957184
43,0.5943356156349182
44,0.5805162191390991
45,0.5074287056922913
46,0.20151320099830627
47,0.19003042578697205
48,0.46406012773513794
49,0.1718975007534027
50,0.5550400018692017
51,0.3930855095386505
52,0.6219949722290039
53,0.2974000871181488
54,0.5667206645011902
55,0.7659685015678406
56,0.07616904377937317
57,0.3774416744709015
58,0.41793379187583923
59,0.5613381862640381
60,0.6467064619064331
61,0.4590691030025482
62,0.1569812297821045
63,0.27837127447128296
64,0.36129266023635864
65,0.548444390296936
66,0.5463117361068726
67,0.4100702106952667
68,0.36056771874427795
69,0.47810202836990356
70,0.4643007218837738
71,0.4180550277233124
72,0.3314383924007416
73,0.3441702127456665
74,0.33554357290267944
75,0.45997270941734314
76,0.04745446518063545
77,0.6436416506767273
78,0.5791825652122498
79,0.6081841588020325
80,0.8257061839103699
81,0.5453948974609375
82,0.6480167508125305
83,0.5310903787612915
84,0.8316771984100342
85,0.648020327091217
86,0.11081841588020325
87,0.6931172609329224
88,0.2663215398788452
89,0.8637169599533081
90,0.3566160798072815
91,0.5437168478965759
92,0.4812828600406647
93,0.47851353883743286
94,0.4750199615955353
95,0.3032526671886444
96,0.5485087037086487
97,0.37921538949012756
98,0.5644832849502563
99,0.5994564890861511
100,0.3846559524536133
101,0.43634581565856934
102,0.4088782072067261
103,0.21987786889076233
104,0.4750826954841614
105,0.5467157363891602
106,0.3061389923095703
107,0.267665833234787
108,0.4381147027015686
109,0.6565917730331421
110,0.21420617401599884
111,0.4383835196495056
112,0.34522363543510437
113,0.3328894078731537
114,0.2846718430519104
115,0.0015368809690698981
116,0.4477959871292114
117,0.3158028721809387
118,0.4843655228614807
119,0.37429189682006836
120,0.05481680482625961
121,0.4555644989013672
122,0.49096792936325073
123,0.5355991125106812
124,0.7168832421302795
125,0.40333348512649536
126,0.4629341959953308
127,0.3357529938220978
128,0.17573697865009308
129,0.44275057315826416
130,0.22923873364925385
131,0.6124283671379089
132,0.2907584011554718
133,0.48158887028694153
134,0.5320755839347839
135,0.4826245605945587
136,0.3686980605125427
137,0.45565924048423767
138,0.6931031942367554
139,0.5904348492622375
140,0.3393246531486511
141,0.17554916441440582
142,0.31860485672950745
143,0.6806064248085022
144,0.4022012948989868
145,0.3974040448665619
146,0.49215802550315857
147,0.6312993168830872
148,0.16639737784862518
149,0.46358487010002136
150,0.2453700751066208
151,0.4355035126209259
152,0.5737752914428711
153,0.5769774913787842
154,0.6492347121238708
155,0.5240005850791931
156,0.2872179448604584
157,-0.0034162660595029593
158,0.3859887719154358
159,0.5019418001174927
160,0.5229872465133667
161,0.2899266481399536
162,0.6638443470001221
163,0.3490214943885803
164,0.6773867011070251
165,0.6643707752227783
166,0.5075684189796448
167,0.732270359992981
168,0.40874752402305603
169,0.3245820701122284
170,0.1966378539800644
171,0.40633663535118103
172,0.19003808498382568
173,0.7119450569152832
174,0.5820291638374329
175,0.49387770891189575
176,0.5659680366516113
177,0.40799328684806824
178,0.338531494140625
179,0.24540719389915466
180,0.3324785530567169
181,0.4877738952636719
182,0.41769692301750183
183,0.2975785732269287
184,0.4926043450832367
185,0.6535847187042236
186,0.46236181259155273
187,0.5427173376083374
188,0.3457021713256836
189,0.6030492782592773
190,-0.06631933152675629
191,0.5853958129882812
192,0.26530808210372925
193,0.4218177795410156
194,0.42142343521118164
195,0.2409752607345581
196,0.6204231977462769
197,0.7088096141815186
198,0.49795958399772644
199,0.5481618642807007
200,0.45707404613494873
201,0.48650088906288147
202,0.28671592473983765
203,0.6501528024673462
204,0.4791339635848999
205,0.5316669940948486
206,0.34775111079216003
207,0.7928267121315002
208,0.43820518255233765
209,0.16704030334949493
210,0.4958641231060028
211,0.4386155605316162
212,0.5125500559806824
213,0.46402764320373535
214,0.4922007918357849
215,0.5427049994468689
216,0.6874757409095764
217,0.27502918243408203
218,0.384857177734375
219,0.41361796855926514
220,0.29244184494018555
221,0.16381773352622986
222,0.4451431334018707
223,0.030909763649106026
224,0.534109354019165
225,0.6274084448814392
226,0.5881542563438416
227,0.6275557279586792
228,0.3167048692703247
229,0.6618167757987976
230,0.11543900519609451
231,0.4371526837348938
232,0.5186177492141724
233,0.3848685622215271
234,0.34949350357055664
