epoch,step,train/alpha_mean_epoch,train/alpha_mean_step,train/loss_epoch,train/loss_step,train/nll_epoch,train/nll_step,train/pearson_epoch,train/pearson_step,train/phase_reg,val/alpha_mean,val/loss,val/nll,val/pearson,val/phase_reg
0,49,,0.37681514024734497,,47.562110900878906,,465.55596923828125,,0.9685576558113098,0.02703428640961647,,,,,
0,99,,0.19657744467258453,,10.950671195983887,,99.86492919921875,,0.9441746473312378,0.03448501601815224,,,,,
0,149,,0.10908360779285431,,3.5969104766845703,,26.313011169433594,,0.954331636428833,0.03692270442843437,,,,,
0,199,,0.07370081543922424,,2.139669179916382,,12.061473846435547,,0.9257744550704956,0.037747595459222794,,,,,
0,249,,0.06105655059218407,,1.689866304397583,,7.703053951263428,,0.9130741953849792,0.038103118538856506,,,,,
0,299,,0.05205705389380455,,1.6733174324035645,,7.466679096221924,,0.9210609793663025,0.0382758192718029,,,,,
0,349,,0.04619095101952553,,1.6861965656280518,,7.6454362869262695,,0.916650116443634,0.03835858032107353,,,,,
0,399,,0.042841870337724686,,1.5871622562408447,,6.79390811920166,,0.9031034708023071,0.03838760778307915,,,,,
0,449,,0.03896702080965042,,1.5503733158111572,,6.521936416625977,,0.8938992023468018,0.038379110395908356,,,,,
0,499,,0.03798260912299156,,1.564898133277893,,6.664637565612793,,0.8942525386810303,0.03835013881325722,,,,,
0,549,,0.0365770123898983,,1.5202804803848267,,6.359501838684082,,0.8802895545959473,0.03829824551939964,,,,,
0,599,,0.03472324460744858,,1.541369080543518,,6.412003517150879,,0.8963139653205872,0.03824104368686676,,,,,
0,610,,,,,,,,,,0.034768324345350266,1.5190619230270386,6.3253092765808105,0.8826723098754883,0.03822595626115799
0,610,0.10972046852111816,,46.98851776123047,,460.5192565917969,,0.9252722263336182,,,,,,,
1,649,,0.03398025408387184,,1.5142124891281128,,6.222868919372559,,0.8881458044052124,0.03817053139209747,,,,,
1,699,,0.03260022774338722,,1.5081663131713867,,6.350617408752441,,0.8694635629653931,0.038095153868198395,,,,,
1,749,,0.0319015309214592,,1.4939179420471191,,6.194421768188477,,0.8709055185317993,0.03801089525222778,,,,,
1,799,,0.03154127299785614,,1.4854141473770142,,6.208349704742432,,0.861045777797699,0.037921324372291565,,,,,
1,849,,0.030649926513433456,,1.4575461149215698,,6.073700428009033,,0.8467327952384949,0.037825070321559906,,,,,
1,899,,0.03076283261179924,,1.4943413734436035,,6.256098747253418,,0.865277886390686,0.037729572504758835,,,,,
1,949,,0.030004167929291725,,1.4674749374389648,,6.067905426025391,,0.8573076725006104,0.03763217478990555,,,,,
1,999,,0.02904343232512474,,1.4411250352859497,,6.071735382080078,,0.8306718468666077,0.037529364228248596,,,,,
1,1049,,0.03052653558552265,,1.4398564100265503,,6.024742126464844,,0.8339552283287048,0.037424538284540176,,,,,
1,1099,,0.029335711151361465,,1.4574894905090332,,6.1129631996154785,,0.842886209487915,0.03731919825077057,,,,,
1,1149,,0.02917587012052536,,1.4404021501541138,,6.097456932067871,,0.8273667693138123,0.037212472409009933,,,,,
1,1199,,0.028513681143522263,,1.444550633430481,,6.024806022644043,,0.8388477563858032,0.037099678069353104,,,,,
1,1221,,,,,,,,,,0.028637316077947617,1.4576550722122192,6.057275772094727,0.8486933708190918,0.037049952894449234
1,1221,0.030792398378252983,,1.4811702966690063,,6.17270565032959,,0.8604447841644287,,,,,,,
2,1249,,0.029906464740633965,,1.441831111907959,,6.022363662719727,,0.8362342715263367,0.036989036947488785,,,,,
2,1299,,0.02858075313270092,,1.4389898777008057,,6.003850936889648,,0.8353779315948486,0.036874737590551376,,,,,
2,1349,,0.029308974742889404,,1.4559407234191895,,6.1004462242126465,,0.842597484588623,0.036762624979019165,,,,,
2,1399,,0.02885684370994568,,1.4526430368423462,,6.047572135925293,,0.8446336984634399,0.03664769232273102,,,,,
2,1449,,0.02879803255200386,,1.4431051015853882,,5.945379734039307,,0.8453220129013062,0.036530185490846634,,,,,
2,1499,,0.027699509635567665,,1.427961826324463,,5.951433181762695,,0.8296845555305481,0.03641120344400406,,,,,
2,1549,,0.02672143466770649,,1.4337252378463745,,6.028258323669434,,0.8278641700744629,0.036293480545282364,,,,,
2,1599,,0.027462240308523178,,1.4159276485443115,,5.98283576965332,,0.8145360946655273,0.0361749529838562,,,,,
2,1649,,0.0285544041544199,,1.4234052896499634,,5.981557846069336,,0.8220334649085999,0.03605615720152855,,,,,
2,1699,,0.026986489072442055,,1.4167035818099976,,5.94304084777832,,0.8193415403366089,0.03593377396464348,,,,,
2,1749,,0.02755652740597725,,1.394178032875061,,5.944175720214844,,0.7966467142105103,0.0358162485063076,,,,,
2,1799,,0.028193004429340363,,1.418707251548767,,5.919511795043945,,0.8235797882080078,0.035699307918548584,,,,,
2,1832,,,,,,,,,,0.027600904926657677,1.4214297533035278,5.935482501983643,0.8247648477554321,0.03561903163790703
2,1832,0.02804885245859623,,1.4361234903335571,,6.005645751953125,,0.832390546798706,,,,,,,
3,1849,,0.027943948283791542,,1.4109277725219727,,5.9210429191589355,,0.815673291683197,0.035581573843955994,,,,,
3,1899,,0.02731163054704666,,1.4273872375488281,,6.044284820556641,,0.8198729753494263,0.03546334430575371,,,,,
3,1949,,0.026951894164085388,,1.4208595752716064,,5.963573455810547,,0.8214535713195801,0.035346392542123795,,,,,
3,1999,,0.026880959048867226,,1.4212443828582764,,5.860127925872803,,0.8321912288665771,0.03523070737719536,,,,,
3,2049,,0.027659349143505096,,1.4051200151443481,,5.976219177246094,,0.8043810129165649,0.03511683642864227,,,,,
3,2099,,0.02639545314013958,,1.3791708946228027,,5.815135955810547,,0.7946678400039673,0.035003822296857834,,,,,
3,2149,,0.027887925505638123,,1.3762110471725464,,5.790482521057129,,0.7940250635147095,0.034891992807388306,,,,,
3,2199,,0.0270406324416399,,1.4227677583694458,,5.885880470275879,,0.831127941608429,0.034778669476509094,,,,,
3,2249,,0.026586318388581276,,1.3680261373519897,,5.921248912811279,,0.7728959918022156,0.03466444090008736,,,,,
3,2299,,0.0258223507553339,,1.3933099508285522,,5.831484317779541,,0.8072338700294495,0.03455209359526634,,,,,
3,2349,,0.02626492828130722,,1.3647544384002686,,5.7724833488464355,,0.7845351696014404,0.034436196088790894,,,,,
3,2399,,0.025177013128995895,,1.3643630743026733,,5.744876861572266,,0.7870144844055176,0.03432197868824005,,,,,
3,2443,,,,,,,,,,0.026142310351133347,1.3775074481964111,5.802572250366211,0.794293224811554,0.03421042859554291
3,2443,0.02692732959985733,,1.3960539102554321,,5.879261493682861,,0.8050860166549683,,,,,,,
4,2449,,0.02691691555082798,,1.3466993570327759,,5.74175500869751,,0.769490122795105,0.03419812023639679,,,,,
4,2499,,0.02620050683617592,,1.3514487743377686,,5.771946907043457,,0.7712932229042053,0.034081537276506424,,,,,
4,2549,,0.02561802975833416,,1.3878296613693237,,5.848418712615967,,0.800086259841919,0.033960483968257904,,,,,
4,2599,,0.025566047057509422,,1.3558802604675293,,5.7479047775268555,,0.7781949043273926,0.033836159855127335,,,,,
4,2649,,0.025050396099686623,,1.3689401149749756,,5.788931369781494,,0.7872048616409302,0.03371803089976311,,,,,
4,2699,,0.025366967543959618,,1.3715523481369019,,5.794501304626465,,0.7892295122146606,0.03360170125961304,,,,,
4,2749,,0.024707002565264702,,1.3816133737564087,,5.800838470458984,,0.7987239956855774,0.033484961837530136,,,,,
4,2799,,0.02493675984442234,,1.362393856048584,,5.715061187744141,,0.7880605459213257,0.033356811851263046,,,,,
4,2849,,0.024340834468603134,,1.3626182079315186,,5.817241668701172,,0.7781274914741516,0.03324289992451668,,,,,
4,2899,,0.02401886135339737,,1.3824325799942017,,5.823871612548828,,0.7973123788833618,0.03312835097312927,,,,,
4,2949,,0.02322153002023697,,1.3690153360366821,,5.757417678833008,,0.7906211614608765,0.03301675245165825,,,,,
4,2999,,0.022391920909285545,,1.3748846054077148,,5.91121244430542,,0.7811951637268066,0.03290018066763878,,,,,
4,3049,,0.02202758565545082,,1.31723952293396,,5.5902934074401855,,0.7556796669960022,0.03278467059135437,,,,,
4,3054,,,,,,,,,,0.022054500877857208,1.3357925415039062,5.702266216278076,0.7630329132080078,0.03277112916111946
4,3054,0.024632995948195457,,1.353830337524414,,5.760941505432129,,0.7749384641647339,,,,,,,
5,3099,,0.021417532116174698,,1.320542573928833,,5.662662506103516,,0.7518078684806824,0.03267465904355049,,,,,
5,3149,,0.02049100212752819,,1.310381293296814,,5.659637451171875,,0.7420428991317749,0.032552190124988556,,,,,
5,3199,,0.019763581454753876,,1.3172675371170044,,5.685945987701416,,0.7463721632957458,0.03243590518832207,,,,,
5,3249,,0.019105486571788788,,1.3134872913360596,,5.697644233703613,,0.741489052772522,0.03231462463736534,,,,,
5,3299,,0.01780117303133011,,1.3152437210083008,,5.757784843444824,,0.7373631000518799,0.03220144659280777,,,,,
5,3349,,0.016413021832704544,,1.2857089042663574,,5.674530506134033,,0.7162936329841614,0.03209501504898071,,,,,
5,3399,,0.01411292515695095,,1.2974108457565308,,5.697455406188965,,0.7259337902069092,0.032023657113313675,,,,,
5,3449,,0.012107701040804386,,1.2628445625305176,,5.697411060333252,,0.6915732622146606,0.031936585903167725,,,,,
5,3499,,0.010515722446143627,,1.2585740089416504,,5.760948181152344,,0.6811092495918274,0.03184466436505318,,,,,
5,3549,,0.009112095460295677,,1.2588173151016235,,5.67426061630249,,0.6901625394821167,0.03174502030014992,,,,,
5,3599,,0.008325578644871712,,1.1927220821380615,,5.599791526794434,,0.6315939426422119,0.031637124717235565,,,,,
5,3649,,0.007510643918067217,,1.2708144187927246,,5.73863410949707,,0.6958847045898438,0.031522419303655624,,,,,
5,3665,,,,,,,,,,0.00732369814068079,1.2238746881484985,5.617910385131836,0.6610363721847534,0.031484417617321014
5,3665,0.014994303695857525,,1.287566065788269,,5.684776782989502,,0.7172683477401733,,,,,,,
6,3699,,0.007455222308635712,,1.2340075969696045,,5.615226745605469,,0.671425461769104,0.03140563890337944,,,,,
6,3749,,0.0062961941584944725,,1.2133795022964478,,5.661504745483398,,0.6462864279747009,0.03128860890865326,,,,,
6,3799,,0.0063507272861897945,,1.2022254467010498,,5.631170272827148,,0.6381617784500122,0.03116564266383648,,,,,
6,3849,,0.006646471098065376,,1.1642831563949585,,5.5014848709106445,,0.6131597757339478,0.03103211522102356,,,,,
6,3899,,0.005940559320151806,,1.1916494369506836,,5.632506370544434,,0.6274957656860352,0.030899960547685623,,,,,
6,3949,,0.005583364982157946,,1.2233786582946777,,5.648989677429199,,0.6576136946678162,0.03075718879699707,,,,,
6,3999,,0.005456048063933849,,1.1558111906051636,,5.5625996589660645,,0.5986993908882141,0.030612146481871605,,,,,
6,4049,,0.00539116095751524,,1.1410212516784668,,5.425880432128906,,0.5975895524024963,0.030461078509688377,,,,,
6,4099,,0.005440182983875275,,1.1942172050476074,,5.641907691955566,,0.6291793584823608,0.030306797474622726,,,,,
6,4149,,0.005457318387925625,,1.1748645305633545,,5.626882076263428,,0.6113288998603821,0.030157022178173065,,,,,
6,4199,,0.0049429163336753845,,1.168455719947815,,5.579249382019043,,0.609736442565918,0.0299999862909317,,,,,
6,4249,,0.0049852030351758,,1.1614069938659668,,5.6153411865234375,,0.5990757942199707,0.029845064505934715,,,,,
6,4276,,,,,,,,,,0.004613908939063549,1.1674350500106812,5.559100151062012,0.6107661724090576,0.029756780713796616
6,4276,0.005726490169763565,,1.1842241287231445,,5.5867719650268555,,0.6246668696403503,,,,,,,
7,4299,,0.004459009505808353,,1.180781602859497,,5.558565139770508,,0.6241824626922607,0.02968645468354225,,,,,
7,4349,,0.004303031601011753,,1.157125473022461,,5.503585338592529,,0.6060414910316467,0.029517680406570435,,,,,
7,4399,,0.004742315970361233,,1.137800693511963,,5.636309623718262,,0.573401927947998,0.029351741075515747,,,,,
7,4449,,0.00451458478346467,,1.1915955543518066,,5.661678314208984,,0.6246844530105591,0.029185717925429344,,,,,
7,4499,,0.003907551523298025,,1.1732516288757324,,5.662256240844727,,0.6063450574874878,0.029014062136411667,,,,,
7,4549,,0.004221023991703987,,1.1615194082260132,,5.5970139503479,,0.6011074185371399,0.02884870022535324,,,,,
7,4599,,0.0042337458580732346,,1.1923295259475708,,5.654764175415039,,0.626142680644989,0.02868940867483616,,,,,
7,4649,,0.004028109833598137,,1.155222773551941,,5.61458683013916,,0.5930759906768799,0.028522800654172897,,,,,
7,4699,,0.0038836479652673006,,1.1328516006469727,,5.504706382751465,,0.5817090272903442,0.028349803760647774,,,,,
7,4749,,0.0037745279259979725,,1.1274034976959229,,5.527640342712402,,0.5739803314208984,0.028168268501758575,,,,,
7,4799,,0.003704712726175785,,1.1545798778533936,,5.529568672180176,,0.600972592830658,0.027991382405161858,,,,,
7,4849,,0.0036546180490404367,,1.1345363855361938,,5.554141998291016,,0.5784786343574524,0.02781013213098049,,,,,
7,4887,,,,,,,,,,0.003734542988240719,1.1423492431640625,5.539333820343018,0.5877658724784851,0.027665620669722557
7,4887,0.004102592822164297,,1.147600531578064,,5.560174942016602,,0.590885579586029,,,,,,,
8,4899,,0.003812342882156372,,1.1187001466751099,,5.500349521636963,,0.5680078268051147,0.02762213721871376,,,,,
8,4949,,0.0036640302278101444,,1.1186213493347168,,5.594481945037842,,0.5585322976112366,0.027444783598184586,,,,,
8,4999,,0.0040662698447704315,,1.1406582593917847,,5.5141754150390625,,0.5885615348815918,0.027254080399870872,,,,,
8,5049,,0.003963924013078213,,1.1417347192764282,,5.60178279876709,,0.5808894038200378,0.0270655769854784,,,,,
8,5099,,0.0037288598250597715,,1.083031177520752,,5.419479846954346,,0.5404415130615234,0.026871126145124435,,,,,
8,5149,,0.003784205997362733,,1.1405630111694336,,5.593475341796875,,0.5805702805519104,0.02667880989611149,,,,,
8,5199,,0.0036008269526064396,,1.1504833698272705,,5.561043739318848,,0.5937541723251343,0.02647952176630497,,,,,
8,5249,,0.003652252024039626,,1.1434181928634644,,5.58351993560791,,0.584438145160675,0.02628702111542225,,,,,
8,5299,,0.003438366111367941,,1.1043388843536377,,5.47836971282959,,0.5558973550796509,0.02608771063387394,,,,,
8,5349,,0.0035659163258969784,,1.1402469873428345,,5.556919097900391,,0.5839395523071289,0.025888465344905853,,,,,
8,5399,,0.0034067798405885696,,1.1487724781036377,,5.659638404846191,,0.5822111368179321,0.025683272629976273,,,,,
8,5449,,0.0031904822681099176,,1.1419403553009033,,5.546872615814209,,0.5866793394088745,0.02547418139874935,,,,,
8,5498,,,,,,,,,,0.003594339592382312,1.1348159313201904,5.519857406616211,0.5822179913520813,0.025270860642194748
8,5498,0.0036162673495709896,,1.131467580795288,,5.541356563568115,,0.5767050981521606,,,,,,,
9,5499,,0.0037443393375724554,,1.1428731679916382,,5.530753135681152,,0.5891707539558411,0.025270840153098106,,,,,
9,5549,,0.0036487202160060406,,1.1127492189407349,,5.441719055175781,,0.5679618120193481,0.025063510984182358,,,,,
9,5599,,0.0033844916615635157,,1.112743616104126,,5.480345726013184,,0.5641219615936279,0.02485283464193344,,,,,
9,5649,,0.003247827524319291,,1.1009312868118286,,5.532869338989258,,0.5470731258392334,0.024641266092658043,,,,,
9,5699,,0.0032404689118266106,,1.1384479999542236,,5.602052688598633,,0.5776743292808533,0.024432813748717308,,,,,
9,5749,,0.0034337707329541445,,1.1209406852722168,,5.553215980529785,,0.5650335550308228,0.024219807237386703,,,,,
9,5799,,0.0031630154699087143,,1.102289080619812,,5.371182918548584,,0.5646143555641174,0.024006878957152367,,,,,
9,5849,,0.003283290658146143,,1.173458218574524,,5.550992488861084,,0.6177927255630493,0.023791782557964325,,,,,
9,5899,,0.00337269832380116,,1.114819884300232,,5.51943302154541,,0.5623035430908203,0.02357555367052555,,,,,
9,5949,,0.0036307121627032757,,1.1221227645874023,,5.502989768981934,,0.5712270736694336,0.02336207777261734,,,,,
9,5999,,0.0035016874317079782,,1.0952539443969727,,5.496671676635742,,0.5450052618980408,0.023143267259001732,,,,,
9,6049,,0.003045247867703438,,1.1285896301269531,,5.478531837463379,,0.580202579498291,0.022924410179257393,,,,,
9,6099,,0.003151307813823223,,1.1221343278884888,,5.503814220428467,,0.5712105631828308,0.02270580641925335,,,,,
9,6109,,,,,,,,,,0.0032314860727638006,1.1312751770019531,5.517387390136719,0.578986644744873,0.022656291723251343
9,6109,0.003338839393109083,,1.1264848709106445,,5.528451442718506,,0.5730665326118469,,,,,,,
10,6149,,0.0031158877536654472,,1.0961124897003174,,5.490017890930176,,0.5465741753578186,0.022485611960291862,,,,,
10,6199,,0.00314863002859056,,1.1263073682785034,,5.5161237716674805,,0.5741574764251709,0.022263646125793457,,,,,
10,6249,,0.0031972061842679977,,1.1210883855819702,,5.508801460266113,,0.5696680545806885,0.022043278440833092,,,,,
10,6299,,0.003346472280099988,,1.1031982898712158,,5.476288795471191,,0.5550165176391602,0.021824076771736145,,,,,
10,6349,,0.0030069248750805855,,1.1205040216445923,,5.533702850341797,,0.5666170716285706,0.021601514890789986,,,,,
10,6399,,0.0031782330479472876,,1.1258515119552612,,5.54152250289917,,0.5711677074432373,0.021376268938183784,,,,,
10,6449,,0.003091423772275448,,1.151199460029602,,5.555753707885742,,0.5951035618782043,0.021152788773179054,,,,,
10,6499,,0.0028966721147298813,,1.0610677003860474,,5.350290775299072,,0.5255396366119385,0.02092638425529003,,,,,
