epoch,step,train/alpha_mean_epoch,train/alpha_mean_step,train/loss_epoch,train/loss_step,train/nll_epoch,train/nll_step,train/pearson_epoch,train/pearson_step,train/phase_reg,val/alpha_mean,val/loss,val/nll,val/pearson,val/phase_reg
0,49,,0.4738248288631439,,286.8349609375,,2857.822509765625,,1.0053226947784424,0.0,,,,,
0,99,,0.41553738713264465,,66.96954345703125,,659.6998291015625,,0.9580010175704956,0.0,,,,,
0,149,,0.3270972669124603,,37.955665588378906,,369.54791259765625,,0.968163251876831,0.0,,,,,
0,199,,0.2487758845090866,,17.122455596923828,,161.24200439453125,,0.9733777046203613,0.0,,,,,
0,249,,0.18735484778881073,,7.1412434577941895,,61.74140930175781,,0.9483671188354492,0.0,,,,,
0,299,,0.15275543928146362,,5.209867000579834,,42.34973907470703,,0.959617555141449,0.0,,,,,
0,349,,0.12539564073085785,,3.6994192600250244,,27.146198272705078,,0.9722597002983093,0.0,,,,,
0,399,,0.10275281220674515,,3.1447463035583496,,21.76850128173828,,0.9576208591461182,0.0,,,,,
0,449,,0.08932124078273773,,2.6247048377990723,,16.569583892822266,,0.958814263343811,0.0,,,,,
0,499,,0.07832321524620056,,2.3942625522613525,,14.223281860351562,,0.9641019105911255,0.0,,,,,
0,549,,0.07420217245817184,,1.9917047023773193,,10.228471755981445,,0.9614373445510864,0.0,,,,,
0,599,,0.06625159829854965,,2.011502981185913,,10.4657621383667,,0.9583014845848083,0.0,,,,,
0,610,,,,,,,,,,0.06472370028495789,1.9686721563339233,10.176347732543945,0.9445650577545166,0.0
0,610,0.20962893962860107,,84.73770904541016,,837.4844360351562,,0.96820467710495,,,,,,,
1,649,,0.06003684550523758,,1.9320542812347412,,9.747583389282227,,0.9512922167778015,0.0,,,,,
1,699,,0.05178580805659294,,1.9176114797592163,,9.627945899963379,,0.9496382474899292,0.0,,,,,
1,749,,0.04467356950044632,,1.6541330814361572,,7.235605716705322,,0.9261051416397095,0.0,,,,,
1,799,,0.039512891322374344,,1.6489990949630737,,7.15602970123291,,0.9294447898864746,0.0,,,,,
1,849,,0.03522176295518875,,1.58186674118042,,6.542391300201416,,0.9241055250167847,0.0,,,,,
