sequence_index,pearson_r
0,0.41751646995544434
1,0.3439091742038727
2,0.6402073502540588
3,0.6178357601165771
4,0.16331131756305695
5,0.13789702951908112
6,0.608442485332489
7,0.6123154759407043
8,0.46146681904792786
9,0.41117969155311584
10,0.2525193989276886
11,0.19748152792453766
12,0.6266355514526367
13,0.11575043201446533
14,0.330852746963501
15,0.37636005878448486
16,0.6924140453338623
17,0.34924769401550293
18,0.5770414471626282
19,0.48655474185943604
20,0.5475476980209351
21,0.4859556257724762
22,0.3117392957210541
23,0.5634090304374695
24,0.10662338137626648
25,0.24503165483474731
26,0.5126038789749146
27,0.7812451124191284
28,0.44175928831100464
29,0.5933551788330078
30,0.22999094426631927
31,0.056545473635196686
32,0.3183998465538025
33,0.5695376992225647
34,0.4117528200149536
35,0.25103887915611267
36,0.5470743179321289
37,0.1366615742444992
38,0.16267408430576324
39,0.6846280694007874
40,0.5364524722099304
41,0.6082735061645508
42,0.40121525526046753
43,0.6437705159187317
44,0.590547502040863
45,0.489911288022995
46,0.15455496311187744
47,0.18503446877002716
48,0.5202285051345825
49,0.1910882592201233
50,0.5646287202835083
51,0.4340653717517853
52,0.6075794100761414
53,0.28554588556289673
54,0.6272032856941223
55,0.7219375371932983
56,0.24567821621894836
57,0.3924224376678467
58,0.43949007987976074
59,0.557709276676178
60,0.6851665377616882
61,0.49746599793434143
62,0.1961851269006729
63,0.31834322214126587
64,0.3682374656200409
65,0.54263836145401
66,0.5891837477684021
67,0.4591061770915985
68,0.364715576171875
69,0.47305774688720703
70,0.4327954947948456
71,0.39984506368637085
72,0.36785203218460083
73,0.35045722126960754
74,0.40114927291870117
75,0.4854780435562134
76,0.05845523998141289
77,0.7467655539512634
78,0.5976384878158569
79,0.6212666034698486
80,0.856859028339386
81,0.4964554011821747
82,0.602664053440094
83,0.5314574837684631
84,0.871491014957428
85,0.6462246775627136
86,0.1230572834610939
87,0.7413022518157959
88,0.28610703349113464
89,0.8711158633232117
90,0.3474067449569702
91,0.5695046186447144
92,0.5406939387321472
93,0.5276646018028259
94,0.4668552577495575
95,0.32189109921455383
96,0.4633280336856842
97,0.3679242730140686
98,0.5676385760307312
99,0.6109458208084106
100,0.4564814269542694
101,0.45947954058647156
102,0.39188680052757263
103,0.24108873307704926
104,0.484020471572876
105,0.5941867828369141
106,0.23939743638038635
107,0.14442218840122223
108,0.44673585891723633
109,0.6563493609428406
110,0.30250638723373413
111,0.48399725556373596
112,0.34215912222862244
113,0.34977295994758606
114,0.27295973896980286
115,0.03187841922044754
116,0.46898797154426575
117,0.28951719403266907
118,0.466407835483551
119,0.40300288796424866
120,0.07751390337944031
121,0.46555396914482117
122,0.5029441118240356
123,0.6402329802513123
124,0.7166221141815186
125,0.40379366278648376
126,0.4436362087726593
127,0.3908950686454773
128,0.22903655469417572
129,0.43908828496932983
130,0.31109511852264404
131,0.6456379294395447
132,0.20079174637794495
133,0.497674822807312
134,0.6351916790008545
135,0.5430163741111755
136,0.38897308707237244
137,0.38089415431022644
138,0.6676591038703918
139,0.6071813702583313
140,0.30949872732162476
141,0.2243582159280777
142,0.3044949769973755
143,0.6818276643753052
144,0.4286910891532898
145,0.4292484223842621
146,0.38689079880714417
147,0.6217786073684692
148,0.2088976949453354
149,0.46601614356040955
150,0.2094210833311081
151,0.5071703195571899
152,0.6027664542198181
153,0.5734338760375977
154,0.6384522914886475
155,0.5395182371139526
156,0.2948129177093506
157,0.012807931751012802
158,0.3774843215942383
159,0.4940413534641266
160,0.5424355864524841
161,0.3176506459712982
162,0.6720011234283447
163,0.17366518080234528
164,0.6462629437446594
165,0.6702653765678406
166,0.49141380190849304
167,0.7095919251441956
168,0.3550105094909668
169,0.3398444950580597
170,0.2236299216747284
171,0.3993397057056427
172,0.15365135669708252
173,0.7430317997932434
174,0.5837382078170776
175,0.4952201545238495
176,0.5755828022956848
177,0.3916313946247101
178,0.4113926887512207
179,0.3609112501144409
180,0.5810148119926453
181,0.5133054852485657
182,0.44227099418640137
183,0.2830042243003845
184,0.43150535225868225
185,0.6646507382392883
186,0.4637366235256195
187,0.5363703966140747
188,0.4334597587585449
189,0.5104548335075378
190,-0.08254940807819366
191,0.6594499349594116
192,0.31915122270584106
193,0.3686026930809021
194,0.4194251596927643
195,0.23578539490699768
196,0.6131104230880737
197,0.6979423761367798
198,0.49457064270973206
199,0.5718227028846741
200,0.4121255874633789
201,0.46488073468208313
202,0.26374444365501404
203,0.674938440322876
204,0.4018433690071106
205,0.5297182202339172
206,0.3973768949508667
207,0.7731841206550598
208,0.5684525966644287
209,0.198872372508049
210,0.385669469833374
211,0.4773673117160797
212,0.4637277126312256
213,0.48480120301246643
214,0.508979082107544
215,0.5775225758552551
216,0.657072126865387
217,0.28643688559532166
218,0.42019638419151306
219,0.32222601771354675
220,0.3586287796497345
221,0.24904167652130127
222,0.3665940463542938
223,0.05379628762602806
224,0.5548005104064941
225,0.6321575045585632
226,0.5829700827598572
227,0.6195068359375
228,0.3630346357822418
229,0.7408945560455322
230,0.1745559424161911
231,0.2782256305217743
232,0.4566497802734375
233,0.4011949300765991
234,0.37345290184020996
235,0.48522382974624634
236,0.5967731475830078
237,0.27895161509513855
238,0.2709234952926636
239,0.14030860364437103
240,0.2075374275445938
241,0.4532240033149719
242,0.4480479657649994
