rbp_ct	rbp	ct
SLTM_HepG2	SLTM	HepG2
SLTM_K562	SLTM	K562
SMNDC1_HepG2	SMNDC1	HepG2
SMNDC1_K562	SMNDC1	K562
SND1_HepG2	SND1	HepG2
SND1_K562	SND1	K562
SRSF1_HepG2	SRSF1	HepG2
SRSF1_K562	SRSF1	K562
SRSF7_HepG2	SRSF7	HepG2
SRSF7_K562	SRSF7	K562
SRSF9_HepG2	SRSF9	HepG2
SSB_HepG2	SSB	HepG2
SSB_K562	SSB	K562
STAU2_HepG2	STAU2	HepG2
SUB1_HepG2	SUB1	HepG2
SUGP2_HepG2	SUGP2	HepG2
SUPV3L1_HepG2	SUPV3L1	HepG2
SUPV3L1_K562	SUPV3L1	K562
TAF15_HepG2	TAF15	HepG2
TAF15_K562	TAF15	K562
TARDBP_K562	TARDBP	K562
TBRG4_HepG2	TBRG4	HepG2
TBRG4_K562	TBRG4	K562
TIA1_HepG2	TIA1	HepG2
TIA1_K562	TIA1	K562
TIAL1_HepG2	TIAL1	HepG2
TRA2A_HepG2	TRA2A	HepG2
TRA2A_K562	TRA2A	K562
TROVE2_HepG2	TROVE2	HepG2
TROVE2_K562	TROVE2	K562
U2AF1_HepG2	U2AF1	HepG2
U2AF1_K562	U2AF1	K562
U2AF2_HepG2	U2AF2	HepG2
U2AF2_K562	U2AF2	K562
UCHL5_HepG2	UCHL5	HepG2
UCHL5_K562	UCHL5	K562
UPF1_HepG2	UPF1	HepG2
UPF1_K562	UPF1	K562
UTP18_HepG2	UTP18	HepG2
UTP18_K562	UTP18	K562
UTP3_K562	UTP3	K562
WDR3_K562	WDR3	K562
WDR43_HepG2	WDR43	HepG2
WDR43_K562	WDR43	K562
WRN_K562	WRN	K562
XPO5_HepG2	XPO5	HepG2
XRCC6_HepG2	XRCC6	HepG2
XRCC6_K562	XRCC6	K562
XRN2_HepG2	XRN2	HepG2
XRN2_K562	XRN2	K562
YBX3_HepG2	YBX3	HepG2
YBX3_K562	YBX3	K562
YWHAG_K562	YWHAG	K562
ZC3H11A_HepG2	ZC3H11A	HepG2
ZC3H11A_K562	ZC3H11A	K562
ZC3H8_K562	ZC3H8	K562
ZNF622_K562	ZNF622	K562
ZNF800_HepG2	ZNF800	HepG2
ZNF800_K562	ZNF800	K562
ZRANB2_K562	ZRANB2	K562
